actor,gender,film,director,year,maleactors,femaleactors
Manlio Blois,m,The Basilisks,Lina Wertmüller,1963,6,5
Nino Taranto,m,Rita the Mosquito,Lina Wertmüller,1966,10,11
Laura Efrikian,f,Rita the Mosquito,Lina Wertmüller,1966,10,11
Vittorio Congia,m,Rita the Mosquito,Lina Wertmüller,1966,10,11
Paolo Panelli,m,Rita the Mosquito,Lina Wertmüller,1966,10,11
Gino Bramieri,m,Rita the Mosquito,Lina Wertmüller,1966,10,11
Silvia Dionisio,f,Rita the Mosquito,Lina Wertmüller,1966,10,11
Marina Marfoglia,f,Rita the Mosquito,Lina Wertmüller,1966,10,11
Ileana Rigano,f,Rita the Mosquito,Lina Wertmüller,1966,10,11
Rosella Spinelli,f,Rita the Mosquito,Lina Wertmüller,1966,10,11
Tanya Lopert,f,Rita the Mosquito,Lina Wertmüller,1966,10,11
Enrico Montesano,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Veronica Lario,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Luisa De Santis,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Jole Silvani,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Dario Cantarelli,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Umberto Zuanelli,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Guglielmo Molasso,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Antonia Dell'Atte,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Raffaele Arzilli,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Renato D'Amore,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Bruno Maccallini,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Simone Giannitti,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Elena Fabrizi,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Dialta Acton,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Denise Du Chene De Vere,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Patrizia Loreti,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Giuseppe Cederna,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Sabato Martelli Castaldi,m,Sotto... sotto,Lina Wertmüller,1984,14,13
Janet Francis,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Tracy Freeman,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Marie Budakova,f,Sotto... sotto,Lina Wertmüller,1984,14,13
Phillips Smalley,m,A Heroine of '76,Lois Weber,1911,2,1
Phillips Smalley,m,An Old Locket,Lois Weber,1914,2,1
Phillips Smalley,m,A Fool and His Money,Lois Weber,1914,4,2
Phillips Smalley,m,Leaves in the Storm,Lois Weber,1912,1,2
Phillips Smalley,m,The Spider and Her Web,Lois Weber,1914,4,2
Phillips Smalley,m,Plain Mary,Lois Weber,1914,1,1
Phillips Smalley,m,The Martyr,Lois Weber,1911,1,1
Phillips Smalley,m,Sensation Seekers,Lois Weber,1927,9,10
Phillips Smalley,m,Faraway Fields,Lois Weber,1912,1,2
Phillips Smalley,m,A Modern Fairy Tale,Lois Weber,1914,3,1
Phillips Smalley,m,The Rock of Riches,Lois Weber,1916,1,1
Phillips Smalley,m,The Greater Love,Lois Weber,1912,1,2
Phillips Smalley,m,The Wife's Deceit,Lois Weber,1913,3,1
Phillips Smalley,m,Until Death,Lois Weber,1913,2,2
Phillips Smalley,m,His Brand,Lois Weber,1913,4,2
Phillips Smalley,m,Under the Spell,Lois Weber,1916,2,2
Phillips Smalley,m,The Dragon's Breath,Lois Weber,1913,1,1
Phillips Smalley,m,The Pursuit of Hate,Lois Weber,1914,2,2
Phillips Smalley,m,The Cap of Destiny,Lois Weber,1913,1,1
Phillips Smalley,m,The Fallen Angel,Lois Weber,1913,2,1
Phillips Smalley,m,The Merchant of Venice,Lois Weber,1914,4,3
Phillips Smalley,m,His Sister,Lois Weber,1913,2,1
Phillips Smalley,m,Sunshine Molly,Lois Weber,1915,4,5
Phillips Smalley,m,In the Blood,Lois Weber,1913,1,1
Phillips Smalley,m,A Cigarette - That's All,Lois Weber,1915,4,2
Phillips Smalley,m,Memories,Lois Weber,1913,3,5
Phillips Smalley,m,An Episode,Lois Weber,1914,4,2
Phillips Smalley,m,The Haunted Bride,Lois Weber,1913,3,2
Phillips Smalley,m,Two Thieves,Lois Weber,1913,1,1
Phillips Smalley,m,The Pretender,Lois Weber,1913,1,3
Phillips Smalley,m,On the Brink,Lois Weber,1911,3,1
Phillips Smalley,m,Too Wise Wives,Lois Weber,1921,2,2
Phillips Smalley,m,The Coward Hater,Lois Weber,1914,4,2
Phillips Smalley,m,The Female of the Species,Lois Weber,1914,4,2
Phillips Smalley,m,How Men Propose,Lois Weber,1913,2,2
Phillips Smalley,m,Shadows of Life,Lois Weber,1913,3,2
Phillips Smalley,m,Fine Feathers,Lois Weber,1912,2,1
Phillips Smalley,m,The Clue,Lois Weber,1913,2,1
Phillips Smalley,m,The Rosary,Lois Weber,1913,1,1
Phillips Smalley,m,Through Strife,Lois Weber,1913,4,1
Phillips Smalley,m,Scandal,Lois Weber,2012,4,5
Phillips Smalley,m,Angels Unaware,Lois Weber,1912,1,1
Phillips Smalley,m,The Peacemaker,Lois Weber,1913,2,1
Phillips Smalley,m,The Triumph of Mind,Lois Weber,1914,4,4
Phillips Smalley,m,The Price of Peace,Lois Weber,1912,1,1
Phillips Smalley,m,The Baby's Doll,Lois Weber,1914,2,3
Phillips Smalley,m,The Power of Thought,Lois Weber,1912,4,2
Phillips Smalley,m,The Gilded Life,Lois Weber,1916,2,1
Phillips Smalley,m,The Mask,Lois Weber,1913,2,3
Phillips Smalley,m,The Bargain,Lois Weber,1912,1,1
Phillips Smalley,m,Closed Gates,Lois Weber,1914,2,1
Phillips Smalley,m,An Old Fashioned Girl,Lois Weber,1912,1,1
Phillips Smalley,m,The Hand That Rocks the Cradle,Lois Weber,1917,4,4
Phillips Smalley,m,The Leper's Coat,Lois Weber,1914,2,2
Phillips Smalley,m,The Stone in the Road,Lois Weber,1914,2,2
Phillips Smalley,m,The Realization,Lois Weber,1911,1,1
Phillips Smalley,m,The Boyhood He Forgot,Lois Weber,1917,3,1
Phillips Smalley,m,The Trifler,Lois Weber,1913,1,1
Phillips Smalley,m,The Troubadour's Triumph,Lois Weber,1912,2,1
Phillips Smalley,m,A Book of Verses,Lois Weber,1913,1,1
Phillips Smalley,m,The King Can Do No Wrong,Lois Weber,1913,1,1
Phillips Smalley,m,A Breach of Faith,Lois Weber,1911,1,2
Phillips Smalley,m,Saving the Family Name,Lois Weber,1916,4,3
Phillips Smalley,m,The Blood Brotherhood,Lois Weber,1913,3,2
Phillips Smalley,m,Civilized and Savage,Lois Weber,1913,1,1
Phillips Smalley,m,An Empty Box,Lois Weber,1913,1,1
Phillips Smalley,m,The Jew's Christmas,Lois Weber,1913,1,3
Phillips Smalley,m,The Heiress,Lois Weber,1911,1,1
Phillips Smalley,m,Lost by a Hair,Lois Weber,1914,3,4
Phillips Smalley,m,The Greater Christian,Lois Weber,1912,1,1
Phillips Smalley,m,Avenged,Lois Weber,1914,2,2
Phillips Smalley,m,Behind the Veil,Lois Weber,1914,2,2
Phillips Smalley,m,On Suspicion,Lois Weber,1914,3,1
Phillips Smalley,m,Eyes That See Not,Lois Weber,1912,1,1
Phillips Smalley,m,Two Thieves and a Cross,Lois Weber,1913,2,2
Phillips Smalley,m,From Death to Life,Lois Weber,1911,1,1
Phillips Smalley,m,The Price,Lois Weber,1911,1,1
Phillips Smalley,m,The Twins,Lois Weber,1911,1,1
Phillips Smalley,m,Never Again,Lois Weber,1913,1,1
Phillips Smalley,m,The Poverty of Riches,Lois Weber,1913,1,1
Phillips Smalley,m,Helping Mother,Lois Weber,1914,2,3
Phillips Smalley,m,Troubled Waters,Lois Weber,1913,2,1
Phillips Smalley,m,James Lee's Wife,Lois Weber,1913,2,2
Phillips Smalley,m,Hop - The Devil's Brew,Lois Weber,1916,3,3
Phillips Smalley,m,The Light Woman,Lois Weber,1913,3,2
Phillips Smalley,m,Fate,Lois Weber,1911,1,1
Phillips Smalley,m,Bobby's Baby,Lois Weber,1913,2,1
Phillips Smalley,m,Just in Time,Lois Weber,1913,4,2
Phillips Smalley,m,Idle Wives,Lois Weber,1916,6,9
Phillips Smalley,m,The Final Pardon,Lois Weber,1912,1,1
Gordon Sackville,m,A Heroine of '76,Lois Weber,1911,2,1
Rupert Julian,m,An Old Locket,Lois Weber,1914,2,1
Rupert Julian,m,A Fool and His Money,Lois Weber,1914,4,2
Rupert Julian,m,The Spider and Her Web,Lois Weber,1914,4,2
Rupert Julian,m,A Modern Fairy Tale,Lois Weber,1914,3,1
Rupert Julian,m,The Wife's Deceit,Lois Weber,1913,3,1
Rupert Julian,m,His Brand,Lois Weber,1913,4,2
Rupert Julian,m,The Pursuit of Hate,Lois Weber,1914,2,2
Rupert Julian,m,The Merchant of Venice,Lois Weber,1914,4,3
Rupert Julian,m,His Sister,Lois Weber,1913,2,1
Rupert Julian,m,Woman's Burden,Lois Weber,1914,3,3
Rupert Julian,m,A Cigarette - That's All,Lois Weber,1915,4,2
Rupert Julian,m,Memories,Lois Weber,1913,3,5
Rupert Julian,m,Daisies,Lois Weber,1966,2,1
Rupert Julian,m,An Episode,Lois Weber,1914,4,2
Rupert Julian,m,The Haunted Bride,Lois Weber,1913,3,2
Rupert Julian,m,The Dumb Girl of Portici,Lois Weber,1916,8,6
Rupert Julian,m,The Coward Hater,Lois Weber,1914,4,2
Rupert Julian,m,The Female of the Species,Lois Weber,1914,4,2
Rupert Julian,m,Shadows of Life,Lois Weber,1913,3,2
Rupert Julian,m,The Clue,Lois Weber,1913,2,1
Rupert Julian,m,Through Strife,Lois Weber,1913,4,1
Rupert Julian,m,Scandal,Lois Weber,2012,4,5
Rupert Julian,m,The Peacemaker,Lois Weber,1913,2,1
Rupert Julian,m,The Triumph of Mind,Lois Weber,1914,4,4
Rupert Julian,m,The Gilded Life,Lois Weber,1916,2,1
Rupert Julian,m,The Mask,Lois Weber,1913,2,3
Rupert Julian,m,Closed Gates,Lois Weber,1914,2,1
Rupert Julian,m,The Leper's Coat,Lois Weber,1914,2,2
Rupert Julian,m,The Boyhood He Forgot,Lois Weber,1917,3,1
Rupert Julian,m,The Blood Brotherhood,Lois Weber,1913,3,2
Rupert Julian,m,Avenged,Lois Weber,1914,2,2
Rupert Julian,m,Behind the Veil,Lois Weber,1914,2,2
Rupert Julian,m,Two Thieves and a Cross,Lois Weber,1913,2,2
Rupert Julian,m,Troubled Waters,Lois Weber,1913,2,1
Rupert Julian,m,Jewel,Lois Weber,1915,6,5
Rupert Julian,m,The Career of Waterloo Peterson,Lois Weber,1914,4,2
Anita Stewart,f,A Midnight Romance,Lois Weber,1919,3,4
Anita Stewart,f,Mary Regan,Lois Weber,1919,7,2
Jack Holt,m,A Midnight Romance,Lois Weber,1919,3,4
Jack Holt,m,A Cigarette - That's All,Lois Weber,1915,4,2
Jack Holt,m,The Dumb Girl of Portici,Lois Weber,1916,8,6
Jack Holt,m,Saving the Family Name,Lois Weber,1916,4,3
Jack Holt,m,Jewel,Lois Weber,1915,6,5
Edwin B. Tilton,m,A Midnight Romance,Lois Weber,1919,3,4
Elinor Hancock,f,A Midnight Romance,Lois Weber,1919,3,4
Helen Yoder,f,A Midnight Romance,Lois Weber,1919,3,4
Helen Yoder,f,Home,Lois Weber,1919,4,4
Juanita Hansen,f,A Midnight Romance,Lois Weber,1919,3,4
Juanita Hansen,f,Betty in Search of a Thrill,Lois Weber,1915,3,4
Montague Dumond,m,A Midnight Romance,Lois Weber,1919,3,4
Ella Hall,f,A Fool and His Money,Lois Weber,1914,4,2
Ella Hall,f,A Modern Fairy Tale,Lois Weber,1914,3,1
Ella Hall,f,The Pursuit of Hate,Lois Weber,1914,2,2
Ella Hall,f,Woman's Burden,Lois Weber,1914,3,3
Ella Hall,f,Memories,Lois Weber,1913,3,5
Ella Hall,f,An Episode,Lois Weber,1914,4,2
Ella Hall,f,The Haunted Bride,Lois Weber,1913,3,2
Ella Hall,f,The Coward Hater,Lois Weber,1914,4,2
Ella Hall,f,The Female of the Species,Lois Weber,1914,4,2
Ella Hall,f,The Triumph of Mind,Lois Weber,1914,4,4
Ella Hall,f,The Mask,Lois Weber,1913,2,3
Ella Hall,f,The Man Who Slept,Lois Weber,1914,2,2
Ella Hall,f,The Stone in the Road,Lois Weber,1914,2,2
Ella Hall,f,The Blood Brotherhood,Lois Weber,1913,3,2
Ella Hall,f,The Jew's Christmas,Lois Weber,1913,1,3
Ella Hall,f,Lost by a Hair,Lois Weber,1914,3,4
Ella Hall,f,James Lee's Wife,Lois Weber,1913,2,2
Ella Hall,f,Jewel,Lois Weber,1915,6,5
Ella Hall,f,The Career of Waterloo Peterson,Lois Weber,1914,4,2
Harry C. Browne,m,A Fool and His Money,Lois Weber,1914,4,2
Harry C. Browne,m,An Episode,Lois Weber,1914,4,2
Harry C. Browne,m,The Baby's Doll,Lois Weber,1914,2,3
Joseph Singleton,m,A Fool and His Money,Lois Weber,1914,4,2
Cleo Ridgely,f,Leaves in the Storm,Lois Weber,1912,1,2
Cleo Ridgely,f,Faraway Fields,Lois Weber,1912,1,2
Cleo Ridgely,f,The Greater Love,Lois Weber,1912,1,2
Cleo Ridgely,f,The Power of Thought,Lois Weber,1912,4,2
Cleo Ridgely,f,The Troubadour's Triumph,Lois Weber,1912,2,1
Wallace Reid,m,The Spider and Her Web,Lois Weber,1914,4,2
Dorothy Davenport,f,The Spider and Her Web,Lois Weber,1914,4,2
William Wolbert,m,The Spider and Her Web,Lois Weber,1914,4,2
William Wolbert,m,The Dumb Girl of Portici,Lois Weber,1916,8,6
Billie Dove,f,Sensation Seekers,Lois Weber,1927,9,10
Billie Dove,f,The Marriage Clause,Lois Weber,1926,7,3
Raymond Bloomer,m,Sensation Seekers,Lois Weber,1927,9,10
Peggy Montgomery,f,Sensation Seekers,Lois Weber,1927,9,10
Will Gregory,m,Sensation Seekers,Lois Weber,1927,9,10
Helen Gilmore,f,Sensation Seekers,Lois Weber,1927,9,10
Edith Murgatroyd,f,Sensation Seekers,Lois Weber,1927,9,10
Cora Williams,f,Sensation Seekers,Lois Weber,1927,9,10
Sidney Arundel,m,Sensation Seekers,Lois Weber,1927,9,10
Blackie Thompson,m,Sensation Seekers,Lois Weber,1927,9,10
Nora Cecil,f,Sensation Seekers,Lois Weber,1927,9,10
Frances Dale,f,Sensation Seekers,Lois Weber,1927,9,10
Lillian Lawrence,f,Sensation Seekers,Lois Weber,1927,9,10
Fanchon Frankel,f,Sensation Seekers,Lois Weber,1927,9,10
Hazel Howell,f,Sensation Seekers,Lois Weber,1927,9,10
Walter Brennan,m,Sensation Seekers,Lois Weber,1927,9,10
Walter Brennan,m,Screen Directors Playhouse,Ida Lupino,1955,38,12
Eddie Foster,m,Sensation Seekers,Lois Weber,1927,9,10
Theo Carew,m,A Modern Fairy Tale,Lois Weber,1914,3,1
Theo Carew,m,Woman's Burden,Lois Weber,1914,3,3
Theo Carew,m,The Coward Hater,Lois Weber,1914,4,2
Raymond Russell,m,The Wife's Deceit,Lois Weber,1913,3,1
Harry A. Pollard,m,Until Death,Lois Weber,1913,2,2
Margarita Fischer,f,Until Death,Lois Weber,1913,2,2
Margarita Fischer,f,The Thumb Print,Lois Weber,1913,4,1
Margarita Fischer,f,The Light Woman,Lois Weber,1913,3,2
Robert Z. Leonard,m,The Thumb Print,Lois Weber,1913,4,1
John Burton,m,The Thumb Print,Lois Weber,1913,4,1
Murdock MacQuarrie,m,The Thumb Print,Lois Weber,1913,4,1
Antrim Short,m,His Brand,Lois Weber,1913,4,2
Antrim Short,m,The Fallen Angel,Lois Weber,1913,2,1
Antrim Short,m,The Boyhood He Forgot,Lois Weber,1917,3,1
Antrim Short,m,The Flirt,Lois Weber,1916,7,3
Antrim Short,m,There Is No Place Like Home,Lois Weber,1916,2,1
Antrim Short,m,Bobby's Baby,Lois Weber,1913,2,1
Lule Warrenton,f,His Brand,Lois Weber,1913,4,2
Lule Warrenton,f,Under the Spell,Lois Weber,1916,2,2
Lule Warrenton,f,Woman's Burden,Lois Weber,1914,3,3
Lule Warrenton,f,Memories,Lois Weber,1913,3,5
Lule Warrenton,f,The Pretender,Lois Weber,1913,1,3
Lule Warrenton,f,The Mask,Lois Weber,1913,2,3
Lule Warrenton,f,The Man Who Slept,Lois Weber,1914,2,2
Lule Warrenton,f,The Jew's Christmas,Lois Weber,1913,1,3
Lule Warrenton,f,Suspense,Lois Weber,1913,4,2
Lule Warrenton,f,Jewel,Lois Weber,1915,6,5
William Steele,m,His Brand,Lois Weber,1913,4,2
Douglas Gerrard,m,Under the Spell,Lois Weber,1916,2,2
Douglas Gerrard,m,The Merchant of Venice,Lois Weber,1914,4,3
Douglas Gerrard,m,The Dumb Girl of Portici,Lois Weber,1916,8,6
Douglas Gerrard,m,Through Strife,Lois Weber,1913,4,1
Douglas Gerrard,m,Suspense,Lois Weber,1913,4,2
Douglas Gerrard,m,The Light Woman,Lois Weber,1913,3,2
Douglas Gerrard,m,Just in Time,Lois Weber,1913,4,2
Rosetta Duncan,f,Topsy and Eva,Lois Weber,1927,5,7
Vivian Duncan,f,Topsy and Eva,Lois Weber,1927,5,7
Gibson Gowland,m,Topsy and Eva,Lois Weber,1927,5,7
Gibson Gowland,m,Jewel,Lois Weber,1915,6,5
Noble Johnson,m,Topsy and Eva,Lois Weber,1927,5,7
Marjorie Daw,f,Topsy and Eva,Lois Weber,1927,5,7
Myrtle Ferguson,f,Topsy and Eva,Lois Weber,1927,5,7
Nils Asther,m,Topsy and Eva,Lois Weber,1927,5,7
Henry Victor,m,Topsy and Eva,Lois Weber,1927,5,7
Lionel Belmore,m,Topsy and Eva,Lois Weber,1927,5,7
Dot Farley,f,Topsy and Eva,Lois Weber,1927,5,7
Carla Laemmle,f,Topsy and Eva,Lois Weber,1927,5,7
Mary Nolan,f,Topsy and Eva,Lois Weber,1927,5,7
Dustin Farnum,m,Captain Courtesy,Lois Weber,1915,5,2
Winifred Kingston,f,Captain Courtesy,Lois Weber,1915,5,2
Courtenay Foote,m,Captain Courtesy,Lois Weber,1915,5,2
Courtenay Foote,m,Hypocrites,Lois Weber,1915,5,6
Herbert Standing,m,Captain Courtesy,Lois Weber,1915,5,2
Herbert Standing,m,Sunshine Molly,Lois Weber,1915,4,5
Herbert Standing,m,Betty in Search of a Thrill,Lois Weber,1915,3,4
Herbert Standing,m,It's No Laughing Matter,Lois Weber,1915,4,3
Herbert Standing,m,Hypocrites,Lois Weber,1915,5,6
Jack Hoxie,m,Captain Courtesy,Lois Weber,1915,5,2
Jack Hoxie,m,The Dumb Girl of Portici,Lois Weber,1916,8,6
Carl von Schiller,m,Captain Courtesy,Lois Weber,1915,5,2
Carl von Schiller,m,Saving the Family Name,Lois Weber,1916,4,3
Winona Brown,f,Captain Courtesy,Lois Weber,1915,5,2
Jeanie Macpherson,f,The Merchant of Venice,Lois Weber,1914,4,3
Jeanie Macpherson,f,The Leper's Coat,Lois Weber,1914,2,2
Edna Maison,f,The Merchant of Venice,Lois Weber,1914,4,3
Edna Maison,f,The Dumb Girl of Portici,Lois Weber,1916,8,6
Fred L. Wilson,m,The Merchant of Venice,Lois Weber,1914,4,3
Fred L. Wilson,m,The Coward Hater,Lois Weber,1914,4,2
Adele Farrington,f,Sunshine Molly,Lois Weber,1915,4,5
Adele Farrington,f,The Price of a Good Time,Lois Weber,1917,2,5
Adele Farrington,f,Scandal,Lois Weber,2012,4,5
Adele Farrington,f,It's No Laughing Matter,Lois Weber,1915,4,3
Adele Farrington,f,Hypocrites,Lois Weber,1915,5,6
Margaret Edwards,f,Sunshine Molly,Lois Weber,1915,4,5
Margaret Edwards,f,Hypocrites,Lois Weber,1915,5,6
Vera Lewis,f,Sunshine Molly,Lois Weber,1915,4,5
Vera Lewis,f,Betty in Search of a Thrill,Lois Weber,1915,3,4
Vera Lewis,f,Hypocrites,Lois Weber,1915,5,6
Roberta Hickman,f,Sunshine Molly,Lois Weber,1915,4,5
Roberta Hickman,f,Betty in Search of a Thrill,Lois Weber,1915,3,4
Frank Elliott,m,Sunshine Molly,Lois Weber,1915,4,5
Frank Elliott,m,John Needham's Double,Lois Weber,1916,5,2
Frank Elliott,m,Home,Lois Weber,1919,4,4
Frank Elliott,m,It's No Laughing Matter,Lois Weber,1915,4,3
Frank Elliott,m,Jewel,Lois Weber,1915,6,5
Charles Marriott,m,Sunshine Molly,Lois Weber,1915,4,5
Charles Marriott,m,The Stone in the Road,Lois Weber,1914,2,2
Charles Marriott,m,It's No Laughing Matter,Lois Weber,1915,4,3
Charles Marriott,m,Wanted: A Home,Lois Weber,1916,5,4
W.C. Browne,m,Woman's Burden,Lois Weber,1914,3,3
Maude George,f,A Cigarette - That's All,Lois Weber,1915,4,2
Maude George,f,Even As You and I,Lois Weber,1917,8,3
Maude George,f,Idle Wives,Lois Weber,1916,6,9
H. Scott Leslie,m,A Cigarette - That's All,Lois Weber,1915,4,2
Dixie Carr,f,A Cigarette - That's All,Lois Weber,1915,4,2
Dixie Carr,f,Jewel,Lois Weber,1915,6,5
Dixie Carr,f,Hypocrites,Lois Weber,1915,5,6
Marie Walcamp,f,Memories,Lois Weber,1913,3,5
Marie Walcamp,f,John Needham's Double,Lois Weber,1916,5,2
Marie Walcamp,f,Discontent,Lois Weber,1916,6,2
Marie Walcamp,f,Where Are My Children?,Lois Weber,1916,8,8
Marie Walcamp,f,The Flirt,Lois Weber,1916,7,3
Marie Walcamp,f,The Blot,Lois Weber,1921,4,4
Marie Walcamp,f,Hop - The Devil's Brew,Lois Weber,1916,3,3
Laura Oakley,f,Memories,Lois Weber,1913,3,5
Laura Oakley,f,The Dumb Girl of Portici,Lois Weber,1916,8,6
Laura Oakley,f,The Clue,Lois Weber,1913,2,1
Lee Morris,m,Memories,Lois Weber,1913,3,5
Elsie Jane Wilson,f,Daisies,Lois Weber,1966,2,1
Elsie Jane Wilson,f,The Triumph of Mind,Lois Weber,1914,4,4
Joe King,m,Daisies,Lois Weber,1966,2,1
Joe King,m,Lost by a Hair,Lois Weber,1914,3,4
Joe King,m,Helping Mother,Lois Weber,1914,2,3
Carmen Phillips,f,An Episode,Lois Weber,1914,4,2
Marion Emmons,m,An Episode,Lois Weber,1914,4,2
Marion Emmons,m,John Needham's Double,Lois Weber,1916,5,2
William Walters,m,The Haunted Bride,Lois Weber,1913,3,2
William Walters,m,The Man Who Slept,Lois Weber,1914,2,2
William Walters,m,The Blood Brotherhood,Lois Weber,1913,3,2
Tyrone Power Sr.,m,John Needham's Double,Lois Weber,1916,5,2
Tyrone Power Sr.,m,Where Are My Children?,Lois Weber,1916,8,8
Tyrone Power Sr.,m,The Eye of God,Lois Weber,1916,2,2
Agnes Emerson,f,John Needham's Double,Lois Weber,1916,5,2
Walter Belasco,m,John Needham's Double,Lois Weber,1916,5,2
Frank Lanning,m,John Needham's Double,Lois Weber,1916,5,2
J. Edwin Brown,m,Discontent,Lois Weber,1916,6,2
Charles Hammond,m,Discontent,Lois Weber,1916,6,2
Charles Hammond,m,Hop - The Devil's Brew,Lois Weber,1916,3,3
Katherine Griffith,f,Discontent,Lois Weber,1916,6,2
Alva D. Blake,m,Discontent,Lois Weber,1916,6,2
Alva D. Blake,m,Where Are My Children?,Lois Weber,1916,8,8
Alva D. Blake,m,Hypocrites,Lois Weber,1915,5,6
John R. Hope,m,Discontent,Lois Weber,1916,6,2
Juan de la Cruz,m,Discontent,Lois Weber,1916,6,2
Juan de la Cruz,m,Where Are My Children?,Lois Weber,1916,8,8
Juan de la Cruz,m,The Flirt,Lois Weber,1916,7,3
Juan de la Cruz,m,Hop - The Devil's Brew,Lois Weber,1916,3,3
Doc Crane,m,Discontent,Lois Weber,1916,6,2
Anna Pavlova,f,The Dumb Girl of Portici,Lois Weber,1916,8,6
Wadsworth Harris,m,The Dumb Girl of Portici,Lois Weber,1916,8,6
Betty Schade,f,The Dumb Girl of Portici,Lois Weber,1916,8,6
Betty Schade,f,Lost by a Hair,Lois Weber,1914,3,4
Nigel De Brulier,m,The Dumb Girl of Portici,Lois Weber,1916,8,6
Nigel De Brulier,m,Hypocrites,Lois Weber,1915,5,6
George A. Williams,m,The Dumb Girl of Portici,Lois Weber,1916,8,6
Lois Wilson,f,The Dumb Girl of Portici,Lois Weber,1916,8,6
Lois Wilson,f,The Watermelon Woman,Cheryl Dunye,1996,92,146
Lina Basquette,f,The Dumb Girl of Portici,Lois Weber,1916,8,6
Lina Basquette,f,Shoes,Lois Weber,1916,3,5
Lina Basquette,f,The Dance of Love,Lois Weber,1916,0,1
Ramona Langley,f,The Pretender,Lois Weber,1913,1,3
Mildred Harris,f,The Price of a Good Time,Lois Weber,1917,2,5
Mildred Harris,f,When a Girl Loves,Lois Weber,1919,4,1
Mildred Harris,f,For Husbands Only,Lois Weber,1918,3,3
Mildred Harris,f,Home,Lois Weber,1919,4,4
Mildred Harris,f,Forbidden,Lois Weber,1919,3,2
Mildred Harris,f,The Doctor and the Woman,Lois Weber,1918,3,3
Mildred Harris,f,Borrowed Clothes,Lois Weber,1918,3,4
Anne Schaefer,f,The Price of a Good Time,Lois Weber,1917,2,5
Helene Rosson,f,The Price of a Good Time,Lois Weber,1917,2,5
Helene Rosson,f,Borrowed Clothes,Lois Weber,1918,3,4
Kenneth Harlan,m,The Price of a Good Time,Lois Weber,1917,2,5
Alfred Allen,m,The Price of a Good Time,Lois Weber,1917,2,5
Gertrude Astor,f,The Price of a Good Time,Lois Weber,1917,2,5
Charles De Forrest,m,On the Brink,Lois Weber,1911,3,1
Charles De Forrest,m,Fine Feathers,Lois Weber,1912,2,1
Mitchell Lewis,m,On the Brink,Lois Weber,1911,3,1
Louis Calhern,m,Too Wise Wives,Lois Weber,1921,2,2
Louis Calhern,m,The Blot,Lois Weber,1921,4,4
Claire Windsor,f,Too Wise Wives,Lois Weber,1921,2,2
Claire Windsor,f,The Blot,Lois Weber,1921,4,4
Ben F. Wilson,m,Even As You and I,Lois Weber,1917,8,3
Ben F. Wilson,m,Idle Wives,Lois Weber,1916,6,9
Mignon Anderson,f,Even As You and I,Lois Weber,1917,8,3
Bertram Grassby,m,Even As You and I,Lois Weber,1917,8,3
Bertram Grassby,m,The Mysterious Mrs. Musslewhite,Lois Weber,1917,6,2
Priscilla Dean,f,Even As You and I,Lois Weber,1917,8,3
Priscilla Dean,f,Forbidden,Lois Weber,1919,3,2
Priscilla Dean,f,The Hand That Rocks the Cradle,Lois Weber,1917,4,4
Harry Carter,m,Even As You and I,Lois Weber,1917,8,3
Hayward Mack,m,Even As You and I,Lois Weber,1917,8,3
Earle Page,m,Even As You and I,Lois Weber,1917,8,3
Edwin Wallock,m,Even As You and I,Lois Weber,1917,8,3
Seymour Hastings,m,Even As You and I,Lois Weber,1917,8,3
Seymour Hastings,m,Idle Wives,Lois Weber,1916,6,9
W. Mitchell,m,Even As You and I,Lois Weber,1917,8,3
J.H. MacFarland,m,The Female of the Species,Lois Weber,1914,4,2
John W. Brown,m,The Female of the Species,Lois Weber,1914,4,2
Chester Barnett,m,How Men Propose,Lois Weber,1913,2,2
Grace Darling,f,How Men Propose,Lois Weber,1913,2,2
Frank Lloyd,m,Shadows of Life,Lois Weber,1913,3,2
Frank Lloyd,m,On Suspicion,Lois Weber,1914,3,1
Cleo Madison,f,Shadows of Life,Lois Weber,1913,3,2
Val Paul,m,Through Strife,Lois Weber,1913,4,1
Val Paul,m,Suspense,Lois Weber,1913,4,2
Abe Mundon,m,Scandal,Lois Weber,2012,4,5
Abe Mundon,m,Jewel,Lois Weber,1915,6,5
Alice Thomson,f,Scandal,Lois Weber,2012,4,5
