actor,gender,film,director,year,maleactors,femaleactors
Carole Bouquet,f,Lest We Forget,Claire Denis,1991,23,9
Carole Bouquet,f,Lest We Forget,Chantal Akerman,1991,23,9
Christina Cole,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Christina Cole,f,Jupiter Ascending,Lana Wachowski,2015,49,40
Christina Cole,f,Jupiter Ascending,Lilly Wachowski,2015,49,40
Jason Isaacs,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Jason Isaacs,m,Friends with Money,Nicole Holofcener,2006,25,20
Olivier Rabourdin,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
François Civil,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Rosemarie La Vaullée,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Eva Lutz,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Wojciech Pszoniak,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Wojciech Pszoniak,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Wojciech Pszoniak,m,Angry Harvest,Agnieszka Holland,1985,8,8
Wojciech Pszoniak,m,To Kill a Priest,Agnieszka Holland,1988,26,8
Hiro Uchiyama,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Joseph Malerba,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Joseph Malerba,m,Marie Antoinette,Sofia Coppola,2006,45,29
Stany Coppet,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Stefano Cassetti,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Victoire Bélézy,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Cyril Casmèze,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Stéphane Boucher,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Franck Vincent,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Agathe Anquez,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Agathe Anquez,f,Girlhood,Céline Sciamma,2014,15,25
Hélène Cardona,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Guillaume Dabinpons,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Féodor Atkine,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Féodor Atkine,m,Télévision de chambre,Chantal Akerman,1982,32,18
Sarah Stern,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Oisín Stack,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Frédéric Pierrot,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Hamidreza Djavdan,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Didier Sauvegrain,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Jane Bertish,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Matthew Gravelle,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Ian McCamy,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Pierre Aussedat,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Joe Sheridan,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Joe Sheridan,m,Marie Antoinette,Sofia Coppola,2006,45,29
Dominique Fouassier,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Marie Piémontèse,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Marie Piémontèse,f,One Hundred and One Nights,Agnes Varda,1995,44,27
Olivia Ross,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Weronika Rosati,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Weronika Rosati,f,In Darkness,Agnieszka Holland,2011,28,15
Weronika Rosati,f,I'll Find You,Martha Coolidge,2019,34,20
Sébastien Fouassier,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Dylan Pulido,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Aurélien Grelier,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Chrystel Seyvecou,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Édith Le Merdy,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Édith Le Merdy,f,To Each His Own Cinema,Jane Campion,2007,59,52
Estelle Meyer,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Sophie Verbeeck,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Hélène Kuhn,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Tony Frank Paschall,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Tim Beckmann,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Charlotte Marquardt,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Thierry Harcourt,m,Rosemary's Baby,Agnieszka Holland,2014,29,21
Aurélia Petit,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Sabine Crossen,f,Rosemary's Baby,Agnieszka Holland,2014,29,21
Jerzy Trela,m,Television Theater,Agnieszka Holland,1953,35,15
Jerzy Trela,m,Kobieta samotna,Agnieszka Holland,1987,15,12
Krzysztof Globisz,m,Television Theater,Agnieszka Holland,1953,35,15
Krzysztof Globisz,m,Within the Whirlwind,Marleen Gorris,2009,32,21
Krystyna Janda,f,Television Theater,Agnieszka Holland,1953,35,15
Krystyna Janda,f,Without Secrets,Agnieszka Holland,2011,24,21
Jan Englert,m,Television Theater,Agnieszka Holland,1953,35,15
Jan Peszek,m,Television Theater,Agnieszka Holland,1953,35,15
Mariusz Bonaszewski,m,Television Theater,Agnieszka Holland,1953,35,15
Slawomir Orzechowski,m,Television Theater,Agnieszka Holland,1953,35,15
Piotr Fronczewski,m,Television Theater,Agnieszka Holland,1953,35,15
Piotr Adamczyk,m,Television Theater,Agnieszka Holland,1953,35,15
Zbigniew Zapasiewicz,m,Television Theater,Agnieszka Holland,1953,35,15
Zbigniew Zapasiewicz,m,Fever,Agnieszka Holland,1981,37,6
Zbigniew Zapasiewicz,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Adam Ferency,m,Television Theater,Agnieszka Holland,1953,35,15
Adam Ferency,m,Fever,Agnieszka Holland,1981,37,6
Adam Ferency,m,Screen Tests,Agnieszka Holland,1977,19,10
Adam Ferency,m,Sunday Children,Agnieszka Holland,1977,7,14
Adam Ferency,m,Provincial Actors,Agnieszka Holland,1979,22,8
Janusz Michalowski,m,Television Theater,Agnieszka Holland,1953,35,15
Wladyslaw Kowalski,m,Television Theater,Agnieszka Holland,1953,35,15
Artur Zmijewski,m,Television Theater,Agnieszka Holland,1953,35,15
Jan Frycz,m,Television Theater,Agnieszka Holland,1953,35,15
Andrzej Mastalerz,m,Television Theater,Agnieszka Holland,1953,35,15
Andrzej Mastalerz,m,In Darkness,Agnieszka Holland,2011,28,15
Andrzej Mastalerz,m,Europa Europa,Agnieszka Holland,1990,46,11
Jaroslaw Gajewski,m,Television Theater,Agnieszka Holland,1953,35,15
Jaroslaw Gajewski,m,Europa Europa,Agnieszka Holland,1990,46,11
Jaroslaw Gajewski,m,Ekipa,Agnieszka Holland,2007,30,20
Magdalena Cielecka,f,Television Theater,Agnieszka Holland,1953,35,15
Magdalena Cielecka,f,Without Secrets,Agnieszka Holland,2011,24,21
Aleksandra Slaska,f,Television Theater,Agnieszka Holland,1953,35,15
Krzysztof Stroinski,m,Television Theater,Agnieszka Holland,1953,35,15
Krzysztof Stroinski,m,Ekipa,Agnieszka Holland,2007,30,20
