film,actor,gender,role,year
No te la llevarás maldito,Juan Sturgeon,m,,1989
Independent Lens,America Ferrera,f,Self - Host,1999
Independent Lens,Terrence Howard,m,Self - Host / ...,1999
Independent Lens,Stanley Tucci,m,Self - Host / ...,1999
Independent Lens,Mary-Louise Parker,f,Self - Hostess,1999
Independent Lens,Maggie Gyllenhaal,f,Self - Host / ...,1999
Independent Lens,Safiya Fredericks,f,,1999
Independent Lens,Shadi Chauke,f,Narrator / ...,1999
Independent Lens,Don Cheadle,m,Host / ...,1999
Independent Lens,Edie Falco,f,Self - Host,1999
Independent Lens,Peter Coyote,m,Narrator / ...,1999
Independent Lens,Alfre Woodard,f,Narrator / ...,1999
Independent Lens,Susan Sarandon,f,Self,1999
Independent Lens,Kal Penn,m,Jagdesh / ...,1999
Independent Lens,Hira Ambrosino,f,Auditioning Emilies / ...,1999
Independent Lens,Ben Johnson,m,,1999
Independent Lens,Tim Robbins,m,Self - Narrator,1999
Independent Lens,Torin Anderson,,,1999
Independent Lens,Ashley Borne,,,1999
Independent Lens,Andrew Cappelletti,m,,1999
Independent Lens,Mahogany Ellis-Crutchfield,f,,1999
Independent Lens,Ron Johnson,m,,1999
Independent Lens,Luis E. Sanchez,m,,1999
Independent Lens,Payton Von Eschen,m,,1999
Independent Lens,Reginald Hudlin,m,Self,1999
Independent Lens,Amiri Baraka,m,Self,1999
Independent Lens,George Clinton,m,Self,1999
Independent Lens,Shock-G,m,Humpty Hump / ...,1999
Independent Lens,Jeffrey Wright,m,Bobby Seale / ...,1999
Independent Lens,Howard Zinn,,Self,1999
Independent Lens,Dennis Hopper,m,Self,1999
Independent Lens,DJ Spooky,,Self,1999
Independent Lens,Sonia Sanchez,f,Self,1999
Independent Lens,Henry Louis Gates Jr.,m,Self,1999
Independent Lens,Chris Tashima,m,Chiune Sugihara,1999
Independent Lens,Imelda Marcos,f,Self,1999
Independent Lens,León Singer,m,Clemente,1999
Independent Lens,Bernard White,m,Anant,1999
Independent Lens,Albert Cullum,,Self,1999
Independent Lens,Blythe Danner,f,Isabella Stewart Gardner,1999
Independent Lens,Di Quon,f,Kimberlee Fung,1999
Independent Lens,Keith David,m,Narrator,1999
Independent Lens,John Adams,,Composer,1999
Independent Lens,Arnel Pineda,m,"Self - lead vocalist, Journey",1999
Independent Lens,Susan Fukuda,f,Yukiko Sugihara,1999
Independent Lens,Ferdinand Marcos Jr.,,Self,1999
Independent Lens,Jeremy Ray Valdez,m,Lalo,1999
Independent Lens,Laurie Heineman,f,Self,1999
Independent Lens,Campbell Scott,m,Bernard Berenson,1999
Independent Lens,Karin Anna Cheung,f,Aimee Fung,1999
Independent Lens,Dulé Hill,m,Billy Strayhorn,1999
They,Rhys Fehrenbacher,m,J,2017
They,Kooyar Hosseini Golkou,m,Araz,2017
They,Nicole Coffineau,f,Lauren,2017
They,Norma Moruzzi,f,Mom,2017
They,Diana Torres,f,Diana,2017
They,Evan Gray,m,Boy 1,2017
They,Drew Sheil,m,Boy 2,2017
They,Leyla Mofleh,f,Negar,2017
They,Mohammad Aghebati,m,Behrouz,2017
They,Alma Sinai,f,Alma,2017
They,Arian Naghshineh,m,Kian,2017
They,Ava Naghshineh,f,Kimia,2017
They,Aerik Jahangiri,m,Robert,2017
They,Farid Kossari,m,Nima,2017
They,Kaveh Ehsani,m,Sirooz,2017
They,Robert Garofalo,m,Dr. Garofalo,2017
They,Eric Fehrenbacher,m,,2017
They,Vicki Sheil,f,,2017
Smithereens,Susan Berman,f,Wren,1982
Smithereens,Brad Rijn,m,Paul,1982
Smithereens,Richard Hell,m,Eric,1982
Smithereens,Nada Despotovich,f,Cecile,1982
Smithereens,Roger Jett,m,Billy - Eric's Roommate,1982
Smithereens,Kitty Summerall,f,Eric's Wife,1982
Smithereens,Joni Ruth White,f,Landlady,1982
Smithereens,D.J. O'Neill,m,Ed,1982
Smithereens,Joel Rooks,m,Xerox Boss,1982
Smithereens,Pamela Speed,f,Terry,1982
Smithereens,Tom Cherwin,m,Mike,1982
Smithereens,Edie Schecter,f,Christine,1982
Smithereens,Katherine Riley,f,1st Hooker,1982
Smithereens,Amos Poe,m,Hustler in Bar,1982
Smithereens,Ada McSpade,f,Rasta,1982
Smithereens,Cookie Mueller,f,Horror Movie Sequence,1982
Smithereens,Ed French,m,Horror Movie Sequence,1982
Smithereens,Alan Woolf,m,Pimp,1982
Smithereens,The Nitecaps,m,Band,1982
Smithereens,X-Sessive,m,Lead Singer,1982
Smithereens,Paul Dunlap,m,Bouncer,1982
Smithereens,Sara Sassin,f,Tough Woman in Cafe,1982
Smithereens,Chel Chenier,m,Cecile's Roommate,1982
Smithereens,Geretta Geretta,f,Prostitute,1982
Smithereens,Phyllis Kay,f,Prostitute,1982
Smithereens,Celia Maurice,f,Prostitute,1982
Smithereens,Roma Maffia,f,Prostitute,1982
Smithereens,Chris Noth,m,Prostitute,1982
Smithereens,John Doe,m,Door Guy,1982
Gun Fight,John Aquilino Sr.,,"Self - Former Director, NRA Public Education",2011
Gun Fight,Jillian Bandes,,"Self - Reporter, Roll Call",2011
Gun Fight,Glenn Beck,m,Self,2011
Gun Fight,Larry Beyah,m,"Self - Actor & Teacher, Freedom Theatre",2011
Gun Fight,Michael Bloomberg,m,"Self - Mayor, New York City",2011
Gun Fight,Scott Charles,,"Self - Trauma Outrach Coordinator, Temple University Hospital",2011
Gun Fight,Seung-hui Cho,,Self - Virginia Tech Gunman,2011
Gun Fight,John Feinblatt,,"Self - Criminal Justice Coordinator, City of New York",2011
Gun Fight,Richard J. Feldman,,"Self - Author & Former Regional Political Director, NRA",2011
Gun Fight,Gabrielle Giffords,,"Self - Representative, Arizona",2011
Gun Fight,Andrew Goddard,,Self - Colin's Father,2011
Gun Fight,Anne Goddard,,Self - Colin's Mother,2011
Gun Fight,Colin Goddard,,"Self - Former Student, Virginia Tech",2011
Gun Fight,Amy Goldberg,,"Self - Chief of Trauma Surgery, Temple University Hospital",2011
Gun Fight,Alan Gottlieb,,"Self - Founder, Second Amendment Foundation",2011
Gun Fight,Paul Helmke,,"Self - President, Brady Center to Prevent Gun Violence",2011
Gun Fight,Dennis Henigan,,"Self - Vice President, Brady Center to Prevent Gun Violence",2011
Gun Fight,Mark Kelly,,Self - Husband of Gabrielle Giffords,2011
Gun Fight,Jeff Knox,,Self - The Firearms Coalition,2011
Gun Fight,Wayne LaPierre,,"Self - Executive Vice President, NRA",2011
Gun Fight,Gail E. Leslie,,"Self - Director of Facilities, Freedom Theatre",2011
Gun Fight,Leonard Lopate,,Self - Radio Host,2011
Gun Fight,Scott Melzer,,Self - Sociologist & Author of Gun Crusaders,2011
Gun Fight,Sarah Palin,f,Self,2011
Gun Fight,Ron Paul,m,Self,2011
Gun Fight,Larry Pratt,,"Self - Executive Director, Gun Owners of America",2011
Gun Fight,Mike Quigley,,"Self - Representative, Illinois",2011
Gun Fight,Cathy Read,,Self - Parent of Virginia Tech Victim,2011
Gun Fight,Peter Read,,Self - Parent of Virginia Tech Victim,2011
Gun Fight,James Scaminaci III,,"Self - Writer, politicalchili.com",2011
Gun Fight,Bobby Scott,,"Self - Representative, Virginia",2011
Gun Fight,Nicki Stallard,,Self - Pink Pistols,2011
Gun Fight,Mike Stollenwerk,,Self - OpenCarry.org,2011
Gun Fight,Paul Strauss,m,"Self - Shadow Senator, District of Columbia",2011
Gun Fight,Philip Van Cleave,,"Self - President, Virginia Citizens Defense League",2011
Gun Fight,Timothy Wheeler,,Self - Doctors for Responsible Gun Ownership,2011
Gun Fight,Bradford B. Wiles,,"Self - Graduate Student, Virginia Tech",2011
Gun Fight,Garen Wintemute,,"Self - Professor of Emergency Medicine, UC Davis School of Medicine",2011
Gun Fight,Dave Workman,,"Self - Senior Editor, The New Gun Week",2011
Gun Fight,Thomas Wyld,,Self - NRA Attorney,2011
Gun Fight,Hykeim Young,,Self - Filmmaker,2011
Plain Mary,Lois Weber,f,Plain Mary,1914
Plain Mary,Phillips Smalley,m,The Professor,1914
The Wire (2004-2008),Dominic West,m,Det. James 'Jimmy' McNulty / ...,2002
The Wire (2004-2008),John Doman,m,Dep. Comm. for Operations William A. Rawls / ...,2002
The Wire (2004-2008),Deirdre Lovejoy,f,Asst. State's Atty. Rhonda Pearlman,2002
The Wire (2004-2008),Wendell Pierce,m,Det. William 'Bunk' Moreland,2002
The Wire (2004-2008),Lance Reddick,m,Lt. Cedric Daniels / ...,2002
The Wire (2004-2008),Sonja Sohn,f,Det. Shakima 'Kima' Greggs,2002
The Wire (2004-2008),Seth Gilliam,m,Sgt. Ellis Carver / ...,2002
The Wire (2004-2008),Domenick Lombardozzi,m,Det. Thomas 'Herc' Hauk / ...,2002
The Wire (2004-2008),Clarke Peters,m,Det. Lester Freamon,2002
The Wire (2004-2008),Andre Royo,m,Reginald 'Bubbles' Cousins,2002
The Wire (2004-2008),Michael Kenneth Williams,m,Omar Little,2002
The Wire (2004-2008),Jim True-Frost,m,Det. Roland 'Prez' Pryzbylewski / ...,2002
The Wire (2004-2008),Frankie Faison,m,Acting Commissioner Ervin H. Burrell / ...,2002
The Wire (2004-2008),Corey Parker Robinson,m,Det. Leander Sydnor,2002
The Wire (2004-2008),Delaney Williams,m,Sgt. Jay Landsman,2002
The Wire (2004-2008),J.D. Williams,m,Preston 'Bodie' Broadus,2002
The Wire (2004-2008),Wood Harris,m,Avon Barksdale,2002
The Wire (2004-2008),Idris Elba,m,Russell 'Stringer' Bell,2002
The Wire (2004-2008),Aidan Gillen,m,Councilman Thomas 'Tommy' Carcetti / ...,2002
The Wire (2004-2008),Jamie Hector,m,Marlo Stanfield,2002
The Wire (2004-2008),Gbenga Akinnagbe,m,Chris Partlow / ...,2002
The Wire (2004-2008),Robert Wisdom,m,Howard 'Bunny' Colvin / ...,2002
The Wire (2004-2008),Anwan Glover,m,Slim Charles,2002
The Wire (2004-2008),Felicia Pearson,f,Felicia 'Snoop' Pearson,2002
The Wire (2004-2008),Chad L. Coleman,m,Dennis 'Cutty' Wise,2002
The Wire (2004-2008),Tray Chaney,m,Malik 'Poot' Carr,2002
The Wire (2004-2008),Michael Kostroff,m,Maurice 'Maury' Levy,2002
The Wire (2004-2008),Isiah Whitlock Jr.,m,State Sen. R. Clayton 'Clay' Davis,2002
The Wire (2004-2008),Robert F. Chew,m,Joseph 'Proposition Joe' Stewart,2002
The Wire (2004-2008),Michael Salconi,m,Off. Michael 'Sanny' Santangelo / ...,2002
The Wire (2004-2008),Reg E. Cathey,m,Norman Wilson,2002
The Wire (2004-2008),Jermaine Crawford,m,Duquan 'Dukie' Weems,2002
The Wire (2004-2008),Tristan Mack Wilds,m,Michael Lee,2002
The Wire (2004-2008),Glynn Turman,m,Mayor Clarence V. Royce / ...,2002
The Wire (2004-2008),Edward T. Norris,m,Det. Edward Norris,2002
The Wire (2004-2008),Amy Ryan,f,Off. Beatrice 'Beadie' Russell,2002
The Wire (2004-2008),Al Brown,m,Maj. Stanislaus Valchek / ...,2002
The Wire (2004-2008),Richard Burton,m,Sean 'Shamrock' McGinty,2002
The Wire (2004-2008),Benjamin Busch,m,Off. Anthony Colicchio,2002
The Wire (2004-2008),Ryan Sands,m,Off. Lloyd 'Truck' Garrick,2002
The Wire (2004-2008),Hassan Johnson,m,Roland 'Wee-Bey' Brice,2002
The Wire (2004-2008),Brian Anthony Wilson,m,Det. Vernon Holley,2002
The Wire (2004-2008),Gregory L. Williams,m,Det. Michael Crutchfield,2002
The Wire (2004-2008),Lawrence Gilliard Jr.,m,D'Angelo Barksdale,2002
The Wire (2004-2008),Jay Landsman,m,Lt. Dennis Mello / ...,2002
The Wire (2004-2008),Thuliso Dingwall,m,Kenard,2002
The Wire (2004-2008),Paul Ben-Victor,m,Spiros 'Vondas' Vondopoulos,2002
The Wire (2004-2008),Edward Bernard Green Jr.,m,Spider,2002
The Wire (2004-2008),Kwame Patterson,m,'Monk' Metcalf,2002
The Wire (2004-2008),Maria Broom,f,Marla Daniels,2002
House of Cards (2015-2017),Robin Wright,f,Claire Underwood,2013
House of Cards (2015-2017),Michael Kelly,m,Doug Stamper,2013
House of Cards (2015-2017),Kevin Spacey,m,Francis Underwood,2013
House of Cards (2015-2017),Justin Doescher,m,Frank Underwood Security / ...,2013
House of Cards (2015-2017),Derek Cecil,m,Seth Grayson,2013
House of Cards (2015-2017),Jayne Atkinson,f,Catherine Durant,2013
House of Cards (2015-2017),Nathan Darrow,m,Edward Meechum,2013
House of Cards (2015-2017),Mahershala Ali,m,Remy Danton,2013
House of Cards (2015-2017),Boris McGiver,m,Tom Hammerschmidt,2013
House of Cards (2015-2017),Paul Sparks,m,Thomas Yates,2013
House of Cards (2015-2017),Gary Ayash,m,White House Press Corp Reporter / ...,2013
House of Cards (2015-2017),Jeremy Holm,m,Nathan Green,2013
House of Cards (2015-2017),Molly Parker,f,Jackie Sharp,2013
House of Cards (2015-2017),Neve Campbell,f,Leann Harvey,2013
House of Cards (2015-2017),Michel Gill,m,President Garrett Walker / ...,2013
House of Cards (2015-2017),Marla Aaron Wapner,f,WH Press Corp / ...,2013
House of Cards (2015-2017),Nini Le Huynh,f,Claire's Assistant / ...,2013
House of Cards (2015-2017),Elizabeth Marvel,f,Heather Dunbar,2013
House of Cards (2015-2017),Larry Pine,m,Bob Birch,2013
House of Cards (2015-2017),Gregory Divers,m,White House Press Corps / ...,2013
House of Cards (2015-2017),Campbell Scott,m,Mark Usher,2013
House of Cards (2015-2017),Sakina Jaffrey,f,Linda Vasquez,2013
House of Cards (2015-2017),Constance Zimmer,f,Janine Skorsky,2013
House of Cards (2015-2017),Rachel Brosnahan,f,Rachel Posner / ...,2013
House of Cards (2015-2017),Curtiss Cook,m,Terry Womack,2013
House of Cards (2015-2017),Reed Birney,m,Donald Blythe / ...,2013
House of Cards (2015-2017),John Wells,m,Congressman / ...,2013
House of Cards (2015-2017),Kristen Connolly,f,Christina Gallagher,2013
House of Cards (2015-2017),Sebastian Arcelus,m,Lucas Goodwin,2013
House of Cards (2015-2017),Jimmi Simpson,m,Gavin Orsay,2013
House of Cards (2015-2017),Antoinette Montgomery,f,White House Press Corps,2013
House of Cards (2015-2017),Gerald McRaney,m,Raymond Tusk,2013
House of Cards (2015-2017),Dominique McElligott,f,Hannah Conway,2013
House of Cards (2015-2017),Joel Kinnaman,m,Will Conway,2013
House of Cards (2015-2017),Damian Young,m,Aidan Macallan / ...,2013
House of Cards (2015-2017),Reg E. Cathey,m,Freddy,2013
House of Cards (2015-2017),Kate Mara,f,Zoe Barnes,2013
House of Cards (2015-2017),Elizabeth Norment,f,Nancy Kaufberger,2013
House of Cards (2015-2017),Julian Gamble,m,Chairman of Joint Chiefs / ...,2013
House of Cards (2015-2017),Lars Mikkelsen,m,Viktor Petrov,2013
House of Cards (2015-2017),Corey Stoll,m,Rep. Peter Russo,2013
House of Cards (2015-2017),Colm Feore,m,General Brockhart / ...,2013
House of Cards (2015-2017),Kate Lyn Sheil,f,Lisa Williams,2013
House of Cards (2015-2017),Tatyana N. Pokrovskaya,f,Protester / ...,2013
House of Cards (2015-2017),Patricia Clarkson,f,Jane Davis,2013
House of Cards (2015-2017),Korey Jackson,m,Sean Jeffries,2013
House of Cards (2015-2017),Mozhan Marnò,f,Ayla Sayyad,2013
House of Cards (2015-2017),Mercedes Herrero,f,Director of National Intelligence / ...,2013
House of Cards (2015-2017),John Rue,m,CIA Director,2013
House of Cards (2015-2017),Tim Pabon,m,Reporter / ...,2013
Flights and Falls,Václav Chochola,m,Self,2000
Flights and Falls,Karel Ludwig,,Self,2000
Flights and Falls,Zdenek Tmej,,Self,2000
Flights and Falls,Vera Chytilová,f,Self,2000
Mrs. Soffel,Diane Keaton,f,Kate Soffel,1984
Mrs. Soffel,Mel Gibson,m,Ed Biddle,1984
Mrs. Soffel,Matthew Modine,m,Jack Biddle,1984
Mrs. Soffel,Edward Herrmann,m,Warden Peter Soffel,1984
Mrs. Soffel,Trini Alvarado,f,Irene Soffel,1984
Mrs. Soffel,Jennifer Dundas,f,Margaret Soffel,1984
Mrs. Soffel,Danny Corkill,m,Eddie Soffel,1984
Mrs. Soffel,Harley Cross,m,Clarence Soffel,1984
Mrs. Soffel,Terry O'Quinn,m,Detective Buck McGovern,1984
Mrs. Soffel,Pippa Pearthree,f,Maggie,1984
Mrs. Soffel,William Youmans,m,Guard George Koslow,1984
Mrs. Soffel,Maury Chaykin,m,Guard Charlie Reynolds,1984
Mrs. Soffel,Joyce Ebert,f,Matron Agnes Garvey,1984
Mrs. Soffel,Wayne Robson,m,Halliday,1984
Mrs. Soffel,Dana Wheeler-Nicholson,f,Jessie Bodyne,1984
Mrs. Soffel,Les Rubie,m,Mr. Stevenson,1984
Mrs. Soffel,Paula Trueman,f,Mrs. Stevenson,1984
Mrs. Soffel,Nancy Chesney,f,Mrs. Fitzgerald,1984
Mrs. Soffel,Samantha Follows,f,Becky Knotts,1984
Mrs. Soffel,Katie McCombs,f,Rachel Garvey,1984
Mrs. Soffel,Linda Gabler,f,Leota Yoeders,1984
Mrs. Soffel,Eric Hebert,m,Paperboy,1984
Mrs. Soffel,Tom Harvey,m,Attorney Burke,1984
Mrs. Soffel,Jack Jessop,m,Attorney Watson,1984
Mrs. Soffel,William Duell,m,Lenny,1984
Mrs. Soffel,John Dee,m,Old Prisoner,1984
Mrs. Soffel,J. Winston Carroll,m,Guard McGarey,1984
Mrs. Soffel,David Fox,m,McNeil,1984
Mrs. Soffel,Fred Booker,m,Trustee,1984
Mrs. Soffel,Valerie Buhagiar,f,Alice,1984
Mrs. Soffel,Norma Dell'Agnese,f,Woman Reporter,1984
Mrs. Soffel,Al Koslik,m,Reporter,1984
Mrs. Soffel,Philip Craig,m,Reporter,1984
Mrs. Soffel,Frank Adamson,m,Swinehart,1984
Mrs. Soffel,Don Granbery,m,Roach,1984
Mrs. Soffel,Linda Carola,f,Factory Girl,1984
Mrs. Soffel,George Belskey,m,Mr. Bodyne,1984
Mrs. Soffel,Maruska Stankova,f,Mrs. Bodyne,1984
Mrs. Soffel,James Bradford,m,Minister,1984
Mrs. Soffel,Charles Jolliffe,m,Sheriff Hoon,1984
Mrs. Soffel,Rodger Barton,m,Deputy Hoon,1984
Mrs. Soffel,Jack Mather,m,Mr. Watson,1984
Mrs. Soffel,Lee-Max Walton,m,Harry,1984
Mrs. Soffel,Sean Sullivan,m,Farmer,1984
Mrs. Soffel,Warren Van Evera,m,Farmer,1984
Mrs. Soffel,Walter Massey,m,District Attorney,1984
Mrs. Soffel,Jane Foster,f,Elsie,1984
Mrs. Soffel,David Barckhoff,m,Boy on sidewalk,1984
Mrs. Soffel,Chris Cummings,m,Boy,1984
Mrs. Soffel,Len Doncheff,m,Polish Guard,1984
Mrs. Soffel,Clay Follett,m,Farmer,1984
Mrs. Soffel,Heather Graham,f,Factory Girl,1984
Mrs. Soffel,Kay Hawtrey,f,Peter's Secretary,1984
Mrs. Soffel,David Huckvale,m,Russian Twin,1984
Mrs. Soffel,Douglas Huckvale,m,Russian Twin,1984
Mrs. Soffel,John Innes,m,Reporter,1984
Mrs. Soffel,Derek Keurvorst,m,Reporter,1984
Mrs. Soffel,Dan Lett,m,Young Man,1984
Mrs. Soffel,Don McManus,m,Reporter,1984
Mrs. Soffel,A.C. Peterson,m,Guard,1984
Mrs. Soffel,Dorothy Phelan,f,Old Aunt,1984
Mrs. Soffel,Lou Pitoscia,m,Prisoner,1984
Mrs. Soffel,Joe Shelby,m,Lawyer,1984
Mrs. Soffel,Gerry Tucker,m,Policeman,1984
Mrs. Soffel,Victoria Vanderkloot,f,Bit Part,1984
Mrs. Soffel,Chuck Waters,m,Bit Part,1984
Mrs. Soffel,Brian Young,m,McNeil's Secretary,1984
Mrs. Soffel,Ralph Zeldin,m,Russian,1984
Monologues,Sami Frey,m,Un homme emménage,1993
Monologues,Dani,f,,1993
Monologues,Jacques Nolot,m,,1993
Monologues,Benoît Régent,m,Le Gardien,1993
Monologues,Hanna Schygulla,f,La veuve,1993
Monologues,Hélène Surgère,f,La mère,1993
Monologues,Roland Amstutz,m,Le malade,1993
Not Fourteen Again,Kerry Carlson,,Self,1996
Not Fourteen Again,Diana Doman,,Self,1996
Not Fourteen Again,Josie Petersen,,Self,1996
Tomorrow,Anthony Barnosky,,Self,2015
Tomorrow,Olivier De Schutter,,Self,2015
Tomorrow,Cyril Dion,m,Self,2015
Tomorrow,Emmanuel Druon,,Self,2015
Tomorrow,Jan Gehl,,Self,2015
Tomorrow,Elizabeth Hadly,,Self,2015
Tomorrow,Charles Hervé-Gruyer,,Self,2015
Tomorrow,Perrine Hervé-Gruyer,,Self,2015
Tomorrow,Rob Hopkins,m,Self,2015
Tomorrow,Mélanie Laurent,f,Self,2015
Tomorrow,Bernard A. Lietaer,,Self,2015
Tomorrow,Michelle Long,,Self,2015
Tomorrow,Kari Louhivuori,,Self,2015
Tomorrow,Pierre Rabhi,,Self,2015
Tomorrow,Elango Rangaswamy,,Self,2015
Tomorrow,Robert Reed,,Self,2015
Tomorrow,Jeremy Rifkin,,Self,2015
Tomorrow,Thierry Salomon,,Self,2015
Tomorrow,Vandana Shiva,,Self,2015
Tomorrow,David van Reybrouck,,Self,2015
Tomorrow,Malik Yakini,,Self,2015
Tomorrow,Angela Merkel,f,Self,2015
Tomorrow,Barack Obama,m,Self,2015
Bearing Witness,Molly Bingham,,Self,2005
Bearing Witness,Marie Colvin,,Self,2005
Bearing Witness,Janine di Giovanni,,Self,2005
Bearing Witness,Mary Rogers,,Self,2005
Bearing Witness,May Ying Welsh,,Self,2005
My Pragues Understand Me,Milan Steindler,m,Wolfgang Amadeus Mozart,1991
My Pragues Understand Me,Tereza Kucerová,f,Constance,1991
My Pragues Understand Me,Lenka Loubalová,f,Mrs. Dusková,1991
My Pragues Understand Me,Miloslav Mejzlík,m,Mr. Dusek,1991
My Pragues Understand Me,Bronislav Poloczek,m,Guardassoni,1991
My Pragues Understand Me,Milos Kopecký,m,Giacomo Casanova,1991
My Pragues Understand Me,Tereza Roglová,f,Mrs. Benoni,1991
My Pragues Understand Me,Eduard Klezla,m,Don Giovanni,1991
My Pragues Understand Me,Petr Popelka,m,Da Ponte,1991
My Pragues Understand Me,Otakáro Schmidt,m,,1991
My Pragues Understand Me,Tomás Hanák,m,,1991
My Pragues Understand Me,Klára Jerneková,f,,1991
My Pragues Understand Me,Jirí Burda,m,,1991
Brothers,Connie Nielsen,f,Sarah,2004
Brothers,Ulrich Thomsen,m,Michael,2004
Brothers,Nikolaj Lie Kaas,m,Jannik,2004
Brothers,Sarah Juel Werner,f,Natalia,2004
Brothers,Rebecca Løgstrup,f,Camilla,2004
Brothers,Bent Mejding,m,Henning,2004
Brothers,Solbjørg Højfeldt,f,Else,2004
Brothers,Niels Olsen,m,Allentoft,2004
Brothers,Paw Henriksen,m,Niels Peter,2004
Brothers,Lars Hjortshøj,m,Preben 2,2004
Brothers,Lars Ranthe,m,Preben 1,2004
Brothers,André Babikian,m,Nadeem,2004
Brothers,Lene Maria Christensen,f,J. Solvej,2004
Brothers,Laura Bro,f,Ditte,2004
Brothers,Henrik Koefoed,m,Bartender,2004
Brothers,Tom Mannion,m,Miles,2004
Brothers,Kae Bahar,m,Makmuhd,2004
Brothers,Waleed Elgadi,m,"Samial-Tariq, Afghanistan",2004
Brothers,Alex Caan,m,"Farid, Afghanistan",2004
Brothers,Sam Vincenti,m,"Wisam, Afghanistan",2004
Brothers,Joseph Karimbeik,m,"Hossein, Afghanistan",2004
Brothers,Hassani Shapi,m,Hassan Afghanistan,2004
Brothers,Bjarne Antonisen,m,Fåborg,2004
Brothers,Morten Kirkskov,m,Officer 1,2004
Brothers,Claus Flygare,m,Officer 2,2004
Brothers,Niels Lund Boesen,m,Fængselsbetjent 1,2004
Brothers,Morten Hebsgaard,m,Fængselsbetjent 2,2004
Brothers,Michael Asmussen,m,Politibetjent 1,2004
Brothers,Rasmus Botoft,m,Politibetjent 2,2004
Brothers,Alexis Rodney,m,US-soldat 1,2004
Brothers,Philip Bulcock,m,US-soldat 1,2004
Brothers,Thomas Magnussen,m,Radartekniker,2004
Brothers,Scott Farrell,m,Engelsk militærlæge,2004
Brothers,Tobias Theodor Caspersen,m,Gustav,2004
Brothers,Thorbjørn Hein,m,Royal Guard Officer in church,2004
Brothers,Maj-Britt Mathiesen,f,Sygeplejerske,2004
Kraft Suspense Theatre,David Lewis,m,Alan Brossanquet / ...,1963
Kraft Suspense Theatre,Francis De Sales,m,President of Court Martial / ...,1963
Kraft Suspense Theatre,Harry Townes,m,Richard / ...,1963
Kraft Suspense Theatre,Jack Kelly,m,Charles Glenn / ...,1963
Kraft Suspense Theatre,Katherine Crawford,f,Daphne Middleton / ...,1963
Kraft Suspense Theatre,Warren Stevens,m,Alden Ritter / ...,1963
Kraft Suspense Theatre,Malachi Throne,m,Dr. Ludwig Horning / ...,1963
Kraft Suspense Theatre,Berkeley Harris,m,Pete Francis / ...,1963
Kraft Suspense Theatre,Frank Maxwell,m,Albert Perkins / ...,1963
Kraft Suspense Theatre,Norman Leavitt,m,Gotch / ...,1963
Kraft Suspense Theatre,Val Avery,m,Sergeant / ...,1963
Kraft Suspense Theatre,Walter Brooke,m,Col. Arthur Merriam / ...,1963
Kraft Suspense Theatre,Gilchrist Stuart,m,Sandy / ...,1963
Kraft Suspense Theatre,Joyce Meadows,f,Aline,1963
Kraft Suspense Theatre,James Whitmore,m,J. Marvin Bean / ...,1963
Kraft Suspense Theatre,Lee Marvin,m,Sgt. Paul Ryker,1963
Kraft Suspense Theatre,Steve Forrest,m,David Buchanan / ...,1963
Kraft Suspense Theatre,John Forsythe,m,Jerry Wilson / ...,1963
Kraft Suspense Theatre,Leslie Nielsen,m,Dr. David Cord / ...,1963
Kraft Suspense Theatre,Gena Rowlands,f,Janet Cord / ...,1963
Kraft Suspense Theatre,John Gavin,m,Carlos / ...,1963
Kraft Suspense Theatre,Scott Marlowe,m,Johnny Baroja / ...,1963
Kraft Suspense Theatre,Jack Klugman,m,Ozzie Keefer / ...,1963
Kraft Suspense Theatre,Robert Loggia,m,Colonel Juano Chauvin / ...,1963
Kraft Suspense Theatre,Robert Webber,m,Anderson / ...,1963
Kraft Suspense Theatre,Telly Savalas,m,Beret / ...,1963
Kraft Suspense Theatre,Myrna Fahey,f,Honora Malone / ...,1963
Kraft Suspense Theatre,Martha Hyer,f,Caroline Glenn / ...,1963
Kraft Suspense Theatre,Charles McGraw,m,Harry Brockman / ...,1963
Kraft Suspense Theatre,Diane McBain,f,Diana Weston / ...,1963
Kraft Suspense Theatre,Pat O'Brien,m,Inspector Dan Zarilla / ...,1963
Kraft Suspense Theatre,Arch Johnson,m,Charlie Tully / ...,1963
Kraft Suspense Theatre,Jack Weston,m,Homer Fargis / ...,1963
Kraft Suspense Theatre,Julie Adams,f,Ellen Yarnell / ...,1963
Kraft Suspense Theatre,Nancy Malone,f,Nurse Linda Beaumont / ...,1963
Kraft Suspense Theatre,Peter Brown,m,Chris Forrester / ...,1963
Kraft Suspense Theatre,Philip Abbott,m,Major Charles Wheeler / ...,1963
Kraft Suspense Theatre,Peter Helm,m,Private Cutler / ...,1963
Kraft Suspense Theatre,Ron Hayes,m,Deputy Dave Willett / ...,1963
Kraft Suspense Theatre,Leonard Nimoy,m,Cowell / ...,1963
Kraft Suspense Theatre,Frank Silvera,m,Captain Santos / ...,1963
Kraft Suspense Theatre,Joan Staley,f,Beth / ...,1963
Kraft Suspense Theatre,Tol Avery,m,3rd Judge / ...,1963
Kraft Suspense Theatre,William Bramley,m,District Attorney / ...,1963
Kraft Suspense Theatre,Ted Knight,m,Carl Lombardo / ...,1963
Kraft Suspense Theatre,Miguel Ángel Landa,m,Henri / ...,1963
Kraft Suspense Theatre,Myron Healey,m,George Whitney / ...,1963
