actor,director,gender
Frank Langella,Kimberly Peirce,m
Frank Langella,Martha Coolidge,m
Patti LuPone,Kathryn Bigelow,f
Patti LuPone,Jennie Livingston,f
Patti LuPone,Claudia Weill,f
Louis Ozawa,Kathryn Bigelow,m
Louis Ozawa,Kimberly Peirce,m
Eric West,Kathryn Bigelow,m
Eric West,Catherine Hardwick,m
George Aloi,Kathryn Bigelow,m
George Aloi,Marielle Heller,m
Andre Ward,Kathryn Bigelow,m
Andre Ward,Jennie Livingston,m
Ron Maestri,Kathryn Bigelow,m
Ron Maestri,Marielle Heller,m
Philip Greene,Kathryn Bigelow,m
Philip Greene,Nancy Meyers,m
Chris Johnson,Kathryn Bigelow,m
Chris Johnson,Patty Jenkins,m
Allan Hunt,Kathryn Bigelow,m
Allan Hunt,Ida Lupino,m
Paul Williams,Kathryn Bigelow,m
Paul Williams,Donna Deitch,m
Vincent D'Onofrio,Kathryn Bigelow,m
Vincent D'Onofrio,Gillian Armstrong,m
Glenn Plummer,Kathryn Bigelow,m
Glenn Plummer,Donna Deitch,m
Brigitte Bako,Kathryn Bigelow,f
Brigitte Bako,Jennie Livingston,f
Richard Edson,Kathryn Bigelow,m
Richard Edson,Penelope Spheeris,m
Richard Edson,Susan Seidelman,m
Josef Sommer,Kathryn Bigelow,m
Josef Sommer,Susan Seidelman,m
Josef Sommer,Kimberly Peirce,m
Michael Jace,Kathryn Bigelow,m
Michael Jace,Allison Anders,m
Jim Ishida,Kathryn Bigelow,m
Jim Ishida,Patricia Cardoso,m
Ronnie Willis,Kathryn Bigelow,m
Ronnie Willis,Martha Coolidge,m
David Packer,Kathryn Bigelow,m
David Packer,Claudia Weill,m
Ray Chang,Kathryn Bigelow,m
Ray Chang,Donna Deitch,m
Billie Worley,Kathryn Bigelow,m
Billie Worley,Susan Seidelman,m
John Francis,Kathryn Bigelow,m
John Francis,Ida Lupino,m
Joe Martinez,Kathryn Bigelow,m
Joe Martinez,Penelope Spheeris,m
Lance Henriksen,Kathryn Bigelow,m
Lance Henriksen,Karyn Kusama,m
Jenette Goldstein,Kathryn Bigelow,f
Jenette Goldstein,Penelope Spheeris,f
Troy Evans,Kathryn Bigelow,m
Troy Evans,Donna Deitch,m
Troy Evans,Martha Coolidge,m
Billy Beck,Kathryn Bigelow,m
Billy Beck,Ida Lupino,m
Chris Chalk,Kathryn Bigelow,m
Chris Chalk,Ava DuVernay,m
Tyler James Williams,Kathryn Bigelow,m
Tyler James Williams,Cheryl Dunye,m
Tyler James Williams,Gina Prince-Bythewood,m
Tyler James Williams,Kimberly Peirce,m
Laz Alonso,Kathryn Bigelow,m
Laz Alonso,Gina Prince-Bythewood,m
Laz Alonso,Allison Anders,m
Jack Reynor,Kathryn Bigelow,m
Jack Reynor,Dee Rees,m
Jacob Latimore,Kathryn Bigelow,m
Jacob Latimore,Cheryl Dunye,m
Jacob Latimore,Kasi Lemmons,m
Barton Bund,Kathryn Bigelow,m
Barton Bund,Catherine Hardwick,m
Karen Pittman,Kathryn Bigelow,f
Karen Pittman,Kasi Lemmons,f
Algee Smith,Kathryn Bigelow,m
Algee Smith,Dee Rees,m
Samira Wiley,Kathryn Bigelow,f
Samira Wiley,Allison Anders,f
Samira Wiley,Nicole Holofcener,f
Nathan Davis Jr.,Kathryn Bigelow,m
Nathan Davis Jr.,Lisa Cholodenko,m
Kaitlyn Dever,Kathryn Bigelow,f
Kaitlyn Dever,Lisa Cholodenko,f
Kaitlyn Dever,Martha Coolidge,f
Austin Hébert,Kathryn Bigelow,m
Austin Hébert,Lisa Cholodenko,m
Jason Mitchell,Kathryn Bigelow,m
Jason Mitchell,Cheryl Dunye,m
Jason Mitchell,Dee Rees,m
Lizan Mitchell,Kathryn Bigelow,f
Lizan Mitchell,Penny Marshall,f
Henry Frost III,Kathryn Bigelow,m
Henry Frost III,Catherine Hardwick,m
Frank Wood,Kathryn Bigelow,m
Frank Wood,Allison Anders,m
Joseph Ramah,Kathryn Bigelow,m
Joseph Ramah,Patricia Cardoso,m
Jared Michael Scott,Kathryn Bigelow,m
Jared Michael Scott,Catherine Hardwick,m
Jamie Lee Curtis,Kathryn Bigelow,f
Jamie Lee Curtis,Penelope Spheeris,f
Ron Silver,Kathryn Bigelow,m
Ron Silver,Claudia Weill,m
Clancy Brown,Kathryn Bigelow,m
Clancy Brown,Karyn Kusama,m
Clancy Brown,Patricia Cardoso,m
Elizabeth Peña,Kathryn Bigelow,f
Elizabeth Peña,Donna Deitch,f
Elizabeth Peña,Allison Anders,f
Elizabeth Peña,Catherine Hardwick,f
Louise Fletcher,Kathryn Bigelow,f
Louise Fletcher,Donna Deitch,f
Louise Fletcher,Ida Lupino,f
Philip Bosco,Kathryn Bigelow,m
Philip Bosco,Tamara Jenkins,m
Philip Bosco,Martha Coolidge,m
Kevin Dunn,Kathryn Bigelow,m
Kevin Dunn,Lisa Cholodenko,m
Mary Mara,Kathryn Bigelow,f
Mary Mara,Lana Wachowski,f
Mary Mara,Lilly Wachowski,f
Mary Mara,Cheryl Dunye,f
Mary Mara,Donna Deitch,f
Matt Craven,Kathryn Bigelow,m
Matt Craven,Nicole Holofcener,m
Lauren Tom,Kathryn Bigelow,f
Lauren Tom,Allison Anders,f
Becky Ann Baker,Kathryn Bigelow,f
Becky Ann Baker,Donna Deitch,f
Becky Ann Baker,Claudia Weill,f
John Capodice,Kathryn Bigelow,m
John Capodice,Donna Deitch,m
John Capodice,Marleen Gorris,m
Bellina Logan,Kathryn Bigelow,f
Bellina Logan,Nicole Holofcener,f
Jan Saint,Kathryn Bigelow,m
Jan Saint,Penny Marshall,m
D.J. Sharp,Kathryn Bigelow,m
D.J. Sharp,Susan Seidelman,m
Emile Hirsch,Lana Wachowski,m
Emile Hirsch,Lilly Wachowski,m
Emile Hirsch,Catherine Hardwick,m
Nicholas Elia,Lana Wachowski,m
Nicholas Elia,Lilly Wachowski,m
Melissa Holroyd,Lana Wachowski,f
Melissa Holroyd,Lilly Wachowski,f
Ariel Winter,Lana Wachowski,f
Ariel Winter,Lilly Wachowski,f
Scott Porter,Lana Wachowski,m
Scott Porter,Lilly Wachowski,m
Giancarlo Ganziano,Lana Wachowski,m
Giancarlo Ganziano,Lilly Wachowski,m
Peter Fernandez,Lana Wachowski,m
Peter Fernandez,Lilly Wachowski,m
Harvey Friedman,Lana Wachowski,m
Harvey Friedman,Lilly Wachowski,m
Harvey Friedman,Marjane Satrapi,m
Sadao Ueda,Lana Wachowski,m
Sadao Ueda,Lilly Wachowski,m
Valery Tscheplanowa,Lana Wachowski,f
Valery Tscheplanowa,Lilly Wachowski,f
Sami Loris,Lana Wachowski,m
Sami Loris,Lilly Wachowski,m
Olivier Marlo,Lana Wachowski,m
Olivier Marlo,Lilly Wachowski,m
Sean McDonagh,Lana Wachowski,m
Sean McDonagh,Lilly Wachowski,m
Kick Gurry,Lana Wachowski,m
Kick Gurry,Lilly Wachowski,m
Kick Gurry,Jennifer Kent,m
Kick Gurry,Catherine Hardwick,m
Christian Oliver,Lana Wachowski,m
Christian Oliver,Lilly Wachowski,m
Christian Oliver,Martha Coolidge,m
Vinzenz Kiefer,Lana Wachowski,m
Vinzenz Kiefer,Lilly Wachowski,m
Mark Zak,Lana Wachowski,m
Mark Zak,Lilly Wachowski,m
Paulie Litt,Lana Wachowski,m
Paulie Litt,Lilly Wachowski,m
Willy,Lana Wachowski,m
Willy,Lilly Wachowski,m
Kenzie,Lana Wachowski,m
Kenzie,Lilly Wachowski,m
Julia Joyce,Lana Wachowski,f
Julia Joyce,Lilly Wachowski,f
Clayton Nemrow,Lana Wachowski,m
Clayton Nemrow,Lilly Wachowski,m
Clayton Nemrow,Kelly Reichardt,m
Ricky Watson,Lana Wachowski,m
Ricky Watson,Lilly Wachowski,m
Ricky Watson,Martha Coolidge,m
Brandon Robinson,Lana Wachowski,m
Brandon Robinson,Lilly Wachowski,m
L. Trey Wilson,Lana Wachowski,m
L. Trey Wilson,Lilly Wachowski,m
Matthew Fox,Lana Wachowski,m
Matthew Fox,Lilly Wachowski,m
Nayo Wallace,Lana Wachowski,f
Nayo Wallace,Lilly Wachowski,f
Lauren Blake,Lana Wachowski,f
Lauren Blake,Lilly Wachowski,f
Cosma Shiva Hagen,Lana Wachowski,f
Cosma Shiva Hagen,Lilly Wachowski,f
Ralph Herforth,Lana Wachowski,m
Ralph Herforth,Lilly Wachowski,m
Ralph Herforth,Karyn Kusama,m
Rain,Lana Wachowski,m
Rain,Lilly Wachowski,m
Waldemar Kobus,Lana Wachowski,m
Waldemar Kobus,Lilly Wachowski,m
Waldemar Kobus,Niki Caro,m
John Benfield,Lana Wachowski,m
John Benfield,Lilly Wachowski,m
John Benfield,Gillian Armstrong,m
Max Hopp,Lana Wachowski,m
Max Hopp,Lilly Wachowski,m
Julie T. Wallace,Lana Wachowski,f
Julie T. Wallace,Lilly Wachowski,f
Hiroyuki Sanada,Lana Wachowski,m
Hiroyuki Sanada,Lilly Wachowski,m
Matthias Redlhammer,Lana Wachowski,m
Matthias Redlhammer,Lilly Wachowski,m
Eckehard Hoffmann,Lana Wachowski,m
Eckehard Hoffmann,Lilly Wachowski,m
Stephen Marcus,Lana Wachowski,m
Stephen Marcus,Lilly Wachowski,m
Art LaFleur,Lana Wachowski,m
Art LaFleur,Lilly Wachowski,m
Peter Navy Tuiasosopo,Lana Wachowski,m
Peter Navy Tuiasosopo,Lilly Wachowski,m
Peter Navy Tuiasosopo,Penelope Spheeris,m
Nan Yu,Lana Wachowski,f
Nan Yu,Lilly Wachowski,f
Moritz Bleibtreu,Lana Wachowski,m
Moritz Bleibtreu,Lilly Wachowski,m
Paul Sirr,Lana Wachowski,m
Paul Sirr,Lilly Wachowski,m
Richard Roundtree,Lana Wachowski,m
Richard Roundtree,Lilly Wachowski,m
Richard Roundtree,Cheryl Dunye,m
Ramon Tikaram,Lana Wachowski,m
Ramon Tikaram,Lilly Wachowski,m
Melvil Poupaud,Lana Wachowski,m
Melvil Poupaud,Lilly Wachowski,m
Kady Taylor,Lana Wachowski,f
Kady Taylor,Lilly Wachowski,f
Junior Sone Enang,Lana Wachowski,m
Junior Sone Enang,Lilly Wachowski,m
Jana Pallaske,Lana Wachowski,f
Jana Pallaske,Lilly Wachowski,f
Bojidara Maximova,Lana Wachowski,f
Bojidara Maximova,Lilly Wachowski,f
Komi Togbonou,Lana Wachowski,m
Komi Togbonou,Lilly Wachowski,m
Leila Rozario,Lana Wachowski,f
Leila Rozario,Lilly Wachowski,f
Steven Wilson,Lana Wachowski,m
Steven Wilson,Lilly Wachowski,m
Karl Yune,Lana Wachowski,m
Karl Yune,Lilly Wachowski,m
Karl Yune,Karyn Kusama,m
Togo Igawa,Lana Wachowski,m
Togo Igawa,Lilly Wachowski,m
Jonathan Kinsler,Lana Wachowski,m
Jonathan Kinsler,Lilly Wachowski,m
Anatole Taubman,Lana Wachowski,m
Anatole Taubman,Lilly Wachowski,m
Anatole Taubman,Karyn Kusama,m
Ben Miles,Lana Wachowski,m
Ben Miles,Lilly Wachowski,m
Ben Miles,Joanna Hogg,m
Frank Witter,Lana Wachowski,m
Frank Witter,Lilly Wachowski,m
Corinne Orr,Lana Wachowski,f
Corinne Orr,Lilly Wachowski,f
Joe Mazza,Lana Wachowski,m
Joe Mazza,Lilly Wachowski,m
Joon Park,Lana Wachowski,m
Joon Park,Lilly Wachowski,m
Ludmilla Ismailow,Lana Wachowski,f
Ludmilla Ismailow,Lilly Wachowski,f
Milka Duno,Lana Wachowski,f
Milka Duno,Lilly Wachowski,f
Amira Osman,Lana Wachowski,f
Amira Osman,Lilly Wachowski,f
Ashley Walters,Lana Wachowski,m
Ashley Walters,Lilly Wachowski,m
Jens Neuhaus,Lana Wachowski,m
Jens Neuhaus,Lilly Wachowski,m
Sesede Terziyan,Lana Wachowski,f
Sesede Terziyan,Lilly Wachowski,f
Ill-Young Kim,Lana Wachowski,m
Ill-Young Kim,Lilly Wachowski,m
Yuriri Naka,Lana Wachowski,f
Yuriri Naka,Lilly Wachowski,f
Oscar Ortega Sánchez,Lana Wachowski,m
Oscar Ortega Sánchez,Lilly Wachowski,m
Fang Yu,Lana Wachowski,m
Fang Yu,Lilly Wachowski,m
Narges Rashidi,Lana Wachowski,f
Narges Rashidi,Lilly Wachowski,f
Narges Rashidi,Karyn Kusama,f
Andrés Cantor,Lana Wachowski,m
Andrés Cantor,Lilly Wachowski,m
Bill R. Dean,Lana Wachowski,m
Bill R. Dean,Lilly Wachowski,m
Jin Akanishi,Lana Wachowski,m
Jin Akanishi,Lilly Wachowski,m
Luka Andres,Lana Wachowski,m
Luka Andres,Lilly Wachowski,m
Joel Cross,Lana Wachowski,m
Joel Cross,Lilly Wachowski,m
Alister Mazzotti,Lana Wachowski,m
Alister Mazzotti,Lilly Wachowski,m
John Vaughan,Lana Wachowski,m
John Vaughan,Lilly Wachowski,m
Nicolas Walier,Lana Wachowski,m
Nicolas Walier,Lilly Wachowski,m
Yusuke Yamasaki,Lana Wachowski,m
Yusuke Yamasaki,Lilly Wachowski,m
Alexander Yassin,Lana Wachowski,m
Alexander Yassin,Lilly Wachowski,m
Mary Alice,Lana Wachowski,f
Mary Alice,Lilly Wachowski,f
Mary Alice,Penny Marshall,f
Mary Alice,Donna Deitch,f
Julian Arahanga,Lana Wachowski,m
Julian Arahanga,Lilly Wachowski,m
David Aston,Lana Wachowski,m
David Aston,Lilly Wachowski,m
Helmut Bakaitis,Lana Wachowski,m
Helmut Bakaitis,Lilly Wachowski,m
Jeremy Ball,Lana Wachowski,m
Jeremy Ball,Lilly Wachowski,m
Steve Bastoni,Lana Wachowski,m
Steve Bastoni,Lilly Wachowski,m
Don Battee,Lana Wachowski,m
Don Battee,Lilly Wachowski,m
Monica Bellucci,Lana Wachowski,f
Monica Bellucci,Lilly Wachowski,f
Daniel Bernhardt,Lana Wachowski,m
Daniel Bernhardt,Lilly Wachowski,m
Henry Blasingame,Lana Wachowski,m
Henry Blasingame,Lilly Wachowski,m
Ian Bliss,Lana Wachowski,m
Ian Bliss,Lilly Wachowski,m
Liliana Bogatko,Lana Wachowski,f
Liliana Bogatko,Lilly Wachowski,f
Josephine Byrnes,Lana Wachowski,f
Josephine Byrnes,Lilly Wachowski,f
Josephine Byrnes,Gillian Armstrong,f
Collin Chou,Lana Wachowski,m
Collin Chou,Lilly Wachowski,m
Paul Cotter,Lana Wachowski,m
Paul Cotter,Lilly Wachowski,m
Terrell Dixon,Lana Wachowski,m
Terrell Dixon,Lilly Wachowski,m
Matt Doran,Lana Wachowski,m
Matt Doran,Lilly Wachowski,m
Laurence Fishburne,Lana Wachowski,m
Laurence Fishburne,Lilly Wachowski,m
Gloria Foster,Lana Wachowski,f
Gloria Foster,Lilly Wachowski,f
Gloria Foster,Shirley Clarke,f
Nona Gaye,Lana Wachowski,f
Nona Gaye,Lilly Wachowski,f
Deni Gordon,Lana Wachowski,f
Deni Gordon,Lilly Wachowski,f
Marc Aden Gray,Lana Wachowski,m
Marc Aden Gray,Lilly Wachowski,m
Marc Aden Gray,Gillian Armstrong,m
Lachy Hulme,Lana Wachowski,m
Lachy Hulme,Lilly Wachowski,m
Fiona Johnson,Lana Wachowski,f
Fiona Johnson,Lilly Wachowski,f
Roy Jones Jr.,Lana Wachowski,m
Roy Jones Jr.,Lilly Wachowski,m
David Kilde,Lana Wachowski,m
David Kilde,Lilly Wachowski,m
Randall Duk Kim,Lana Wachowski,m
Randall Duk Kim,Lilly Wachowski,m
Harry Lennix,Lana Wachowski,m
Harry Lennix,Lilly Wachowski,m
Harry Lennix,Gina Prince-Bythewood,m
Belinda McClory,Lana Wachowski,f
Belinda McClory,Lilly Wachowski,f
Matt McColm,Lana Wachowski,m
Matt McColm,Lilly Wachowski,m
Carrie-Anne Moss,Lana Wachowski,f
Carrie-Anne Moss,Lilly Wachowski,f
Tory Mussett,Lana Wachowski,f
Tory Mussett,Lilly Wachowski,f
Ada Nicodemou,Lana Wachowski,f
Ada Nicodemou,Lilly Wachowski,f
David Will No,Lana Wachowski,m
David Will No,Lilly Wachowski,m
Joe Pantoliano,Lana Wachowski,m
Joe Pantoliano,Lilly Wachowski,m
Joe Pantoliano,Donna Deitch,m
Anthony Ray Parker,Lana Wachowski,m
Anthony Ray Parker,Lilly Wachowski,m
Jada Pinkett Smith,Lana Wachowski,f
Jada Pinkett Smith,Lilly Wachowski,f
Adrian Rayment,Lana Wachowski,m
Adrian Rayment,Lilly Wachowski,m
Neil Rayment,Lana Wachowski,m
Neil Rayment,Lilly Wachowski,m
Tahei Simpson,Lana Wachowski,f
Tahei Simpson,Lilly Wachowski,f
Tahei Simpson,Niki Caro,f
Robert Taylor,Lana Wachowski,m
Robert Taylor,Lilly Wachowski,m
Steve Vella,Lana Wachowski,m
Steve Vella,Lilly Wachowski,m
Clayton Watson,Lana Wachowski,m
Clayton Watson,Lilly Wachowski,m
Hugo Weaving,Lana Wachowski,m
Hugo Weaving,Lilly Wachowski,m
Leigh Whannell,Lana Wachowski,m
Leigh Whannell,Lilly Wachowski,m
Lambert Wilson,Lana Wachowski,m
Lambert Wilson,Lilly Wachowski,m
Lambert Wilson,Lina Wertmüller,m
Rowan Witt,Lana Wachowski,m
Rowan Witt,Lilly Wachowski,m
Anthony Brandon Wong,Lana Wachowski,m
Anthony Brandon Wong,Lilly Wachowski,m
Anthony Zerbe,Lana Wachowski,m
Anthony Zerbe,Lilly Wachowski,m
Michael Benyaer,Lana Wachowski,m
Michael Benyaer,Lilly Wachowski,m
Andrew Bowen,Lana Wachowski,m
Andrew Bowen,Lilly Wachowski,m
Kimberly Brooks,Lana Wachowski,f
Kimberly Brooks,Lilly Wachowski,f
Kimberly Brooks,Martha Coolidge,f
George Cheung,Lana Wachowski,m
George Cheung,Lilly Wachowski,m
George Cheung,Allison Anders,m
James M. Connor,Lana Wachowski,m
James M. Connor,Lilly Wachowski,m
Kevin Delaney,Lana Wachowski,m
Kevin Delaney,Lilly Wachowski,m
Robin Atkin Downes,Lana Wachowski,m
Robin Atkin Downes,Lilly Wachowski,m
Robin Atkin Downes,Jennifer Lee,m
Gideon Emery,Lana Wachowski,m
Gideon Emery,Lilly Wachowski,m
Keith Ferguson,Lana Wachowski,m
Keith Ferguson,Lilly Wachowski,m
Nika Futterman,Lana Wachowski,f
Nika Futterman,Lilly Wachowski,f
Michael Gough,Lana Wachowski,m
Michael Gough,Lilly Wachowski,m
Jennifer Hale,Lana Wachowski,f
Jennifer Hale,Lilly Wachowski,f
James Horan,Lana Wachowski,m
James Horan,Lilly Wachowski,m
Jeff Kelly,Lana Wachowski,m
Jeff Kelly,Lilly Wachowski,m
Phil LaMarr,Lana Wachowski,m
Phil LaMarr,Lilly Wachowski,m
Phil LaMarr,Jennifer Lee,m
Lex Lang,Lana Wachowski,m
Lex Lang,Lilly Wachowski,m
Hope Levy,Lana Wachowski,f
Hope Levy,Lilly Wachowski,f
Mitch Lewis,Lana Wachowski,m
Mitch Lewis,Lilly Wachowski,m
Mitch Lewis,Kelly Reichardt,m
Ming Lo,Lana Wachowski,m
Ming Lo,Lilly Wachowski,m
Stefan Marks,Lana Wachowski,m
Stefan Marks,Lilly Wachowski,m
James Mathis III,Lana Wachowski,m
James Mathis III,Lilly Wachowski,m
Paul Nakauchi,Lana Wachowski,m
Paul Nakauchi,Lilly Wachowski,m
Dempsey Pappion,Lana Wachowski,m
Dempsey Pappion,Lilly Wachowski,m
Rick Pasqualone,Lana Wachowski,m
Rick Pasqualone,Lilly Wachowski,m
Rick Pasqualone,Donna Deitch,m
Rick Pasqualone,Susan Seidelman,m
Peter Renaday,Lana Wachowski,m
Peter Renaday,Lilly Wachowski,m
Michael Rodgers,Lana Wachowski,m
Michael Rodgers,Lilly Wachowski,m
Ben Shields,Lana Wachowski,m
Ben Shields,Lilly Wachowski,m
Christopher Corey Smith,Lana Wachowski,m
Christopher Corey Smith,Lilly Wachowski,m
Stephen Stanton,Lana Wachowski,m
Stephen Stanton,Lilly Wachowski,m
Mio Takada,Lana Wachowski,m
Mio Takada,Lilly Wachowski,m
Fred Tatasciore,Lana Wachowski,m
Fred Tatasciore,Lilly Wachowski,m
Fred Tatasciore,Jennifer Lee,m
Jen Taylor,Lana Wachowski,f
Jen Taylor,Lilly Wachowski,f
Jerry Tondo,Lana Wachowski,m
Jerry Tondo,Lilly Wachowski,m
Brett Pels,Lana Wachowski,f
Brett Pels,Lilly Wachowski,f
Eric Michael Halderman,Lana Wachowski,m
Eric Michael Halderman,Lilly Wachowski,m
Alex Huynh,Lana Wachowski,m
Alex Huynh,Lilly Wachowski,m
Michael E. Rodgers,Lana Wachowski,m
Michael E. Rodgers,Lilly Wachowski,m
Michael E. Rodgers,Allison Anders,m
Chris Britton,Lana Wachowski,m
Chris Britton,Lilly Wachowski,m
Chris Britton,Kimberly Peirce,m
Lana Wachowski,Lana Wachowski,f
Lana Wachowski,Lilly Wachowski,f
Lilly Wachowski,Lana Wachowski,f
Lilly Wachowski,Lilly Wachowski,f
Tom Hanks,Lana Wachowski,m
Tom Hanks,Lilly Wachowski,m
Tom Hanks,Penny Marshall,m
Tom Hanks,Marielle Heller,m
Jim Sturgess,Lana Wachowski,m
Jim Sturgess,Lilly Wachowski,m
Doona Bae,Lana Wachowski,f
Doona Bae,Lilly Wachowski,f
James D'Arcy,Lana Wachowski,m
James D'Arcy,Lilly Wachowski,m
Xun Zhou,Lana Wachowski,f
Xun Zhou,Lilly Wachowski,f
David Gyasi,Lana Wachowski,m
David Gyasi,Lilly Wachowski,m
Hugh Grant,Lana Wachowski,m
Hugh Grant,Lilly Wachowski,m
Hugh Grant,Susanne Bier,m
Robert Fyfe,Lana Wachowski,m
Robert Fyfe,Lilly Wachowski,m
Martin Wuttke,Lana Wachowski,m
Martin Wuttke,Lilly Wachowski,m
Robin Morrissey,Lana Wachowski,m
Robin Morrissey,Lilly Wachowski,m
Brody Nicholas Lee,Lana Wachowski,m
Brody Nicholas Lee,Lilly Wachowski,m
Ian van Temperley,Lana Wachowski,m
Ian van Temperley,Lilly Wachowski,m
Amanda Walker,Lana Wachowski,f
Amanda Walker,Lilly Wachowski,f
Amanda Walker,Penny Marshall,f
Andrew Havill,Lana Wachowski,m
Andrew Havill,Lilly Wachowski,m
Tanja de Wendt,Lana Wachowski,f
Tanja de Wendt,Lilly Wachowski,f
Raevan Lee Hanan,Lana Wachowski,f
Raevan Lee Hanan,Lilly Wachowski,f
Götz Otto,Lana Wachowski,m
Götz Otto,Lilly Wachowski,m
Niall Greig Fulton,Lana Wachowski,m
Niall Greig Fulton,Lilly Wachowski,m
Louis Dempsey,Lana Wachowski,m
Louis Dempsey,Lilly Wachowski,m
Martin Docherty,Lana Wachowski,m
Martin Docherty,Lilly Wachowski,m
Alistair Petrie,Lana Wachowski,m
Alistair Petrie,Lilly Wachowski,m
Alistair Petrie,Marleen Gorris,m
Alistair Petrie,Susanne Bier,m
Zhu Zhu,Lana Wachowski,f
Zhu Zhu,Lilly Wachowski,f
Sylvestra Le Touzel,Lana Wachowski,f
Sylvestra Le Touzel,Lilly Wachowski,f
Jojo Schöning,Lana Wachowski,m
Jojo Schöning,Lilly Wachowski,m
Laura Vietzen,Lana Wachowski,f
Laura Vietzen,Lilly Wachowski,f
Thomas Kügel,Lana Wachowski,m
Thomas Kügel,Lilly Wachowski,m
Marie Rönnebeck,Lana Wachowski,f
Marie Rönnebeck,Lilly Wachowski,f
Ruby Kastner,Lana Wachowski,f
Ruby Kastner,Lilly Wachowski,f
Emma Werz,Lana Wachowski,f
Emma Werz,Lilly Wachowski,f
Mya-Lecia Naylor,Lana Wachowski,f
Mya-Lecia Naylor,Lilly Wachowski,f
Korbyn Hawk Hanan,Lana Wachowski,m
Korbyn Hawk Hanan,Lilly Wachowski,m
Katy Karrenbauer,Lana Wachowski,f
Katy Karrenbauer,Lilly Wachowski,f
Dulcie Smart,Lana Wachowski,f
Dulcie Smart,Lilly Wachowski,f
Anna Holmes,Lana Wachowski,f
Anna Holmes,Lilly Wachowski,f
Shaun Lawton,Lana Wachowski,m
Shaun Lawton,Lilly Wachowski,m
Shaun Lawton,Karyn Kusama,m
Moritz Berg,Lana Wachowski,m
Moritz Berg,Lilly Wachowski,m
Gigi Lee,Lana Wachowski,f
Gigi Lee,Lilly Wachowski,f
Genevien Lee,Lana Wachowski,f
Genevien Lee,Lilly Wachowski,f
Cody Benjamin Lee,Lana Wachowski,m
Cody Benjamin Lee,Lilly Wachowski,m
Heike Hanold-Lynch,Lana Wachowski,f
Heike Hanold-Lynch,Lilly Wachowski,f
Victor Solé,Lana Wachowski,m
Victor Solé,Lilly Wachowski,m
Kristoffer Fuss,Lana Wachowski,m
Kristoffer Fuss,Lilly Wachowski,m
Marco Albrecht,Lana Wachowski,m
Marco Albrecht,Lilly Wachowski,m
Gary McCormack,Lana Wachowski,m
Gary McCormack,Lilly Wachowski,m
Bethany Apedaile,Lana Wachowski,f
Bethany Apedaile,Lilly Wachowski,f
Willie Bennie,Lana Wachowski,m
Willie Bennie,Lilly Wachowski,m
Jerome Boyle,Lana Wachowski,m
Jerome Boyle,Lilly Wachowski,m
Hannah Cooper-Dean,Lana Wachowski,f
Hannah Cooper-Dean,Lilly Wachowski,f
Zsuzsanna Cseh,Lana Wachowski,f
Zsuzsanna Cseh,Lilly Wachowski,f
Jon Donahue,Lana Wachowski,m
Jon Donahue,Lilly Wachowski,m
Valérie Lillibeth,Lana Wachowski,f
Valérie Lillibeth,Lilly Wachowski,f
Barry Arthur McKay,Lana Wachowski,m
Barry Arthur McKay,Lilly Wachowski,m
Joseph Anthony McKenna,Lana Wachowski,m
Joseph Anthony McKenna,Lilly Wachowski,m
Jeremy Paxman,Lana Wachowski,m
Jeremy Paxman,Lilly Wachowski,m
Daniele Rizzo,Lana Wachowski,m
Daniele Rizzo,Lilly Wachowski,m
Lyly Schoettle,Lana Wachowski,f
Lyly Schoettle,Lilly Wachowski,f
Yuna Shin,Lana Wachowski,f
Yuna Shin,Lilly Wachowski,f
Adam Siviter,Lana Wachowski,m
Adam Siviter,Lilly Wachowski,m
Liz Strange,Lana Wachowski,f
Liz Strange,Lilly Wachowski,f
Rose Wakesho,Lana Wachowski,f
Rose Wakesho,Lilly Wachowski,f
Jonathan Groff,Lana Wachowski,m
Jonathan Groff,Jennifer Lee,m
Jessica Henwick,Lana Wachowski,f
Jessica Henwick,Sofia Coppola,f
Ellen Hollman,Lana Wachowski,f
Ellen Hollman,Kimberly Peirce,f
Brian J. Smith,Lana Wachowski,m
Brian J. Smith,Lilly Wachowski,m
Max Riemelt,Lana Wachowski,m
Max Riemelt,Lilly Wachowski,m
Eréndira Ibarra,Lana Wachowski,f
Eréndira Ibarra,Lilly Wachowski,f
Toby Onwumere,Lana Wachowski,m
Toby Onwumere,Lilly Wachowski,m
Toby Onwumere,Dee Rees,m
Etienne Vick,Lana Wachowski,f
Etienne Vick,Marielle Heller,f
Etienne Vick,Patty Jenkins,f
James D. Weston II,Lana Wachowski,m
James D. Weston II,Patty Jenkins,m
Mel Powell,Lana Wachowski,m
Mel Powell,Marielle Heller,m
Thomas Dalby,Lana Wachowski,m
Thomas Dalby,Patty Jenkins,m
John Lobato,Lana Wachowski,m
John Lobato,Marielle Heller,m
Christine Anu,Lana Wachowski,f
Christine Anu,Lilly Wachowski,f
Francine Bell,Lana Wachowski,f
Francine Bell,Lilly Wachowski,f
Gunther Berghofer,Lana Wachowski,m
Gunther Berghofer,Lilly Wachowski,m
Michael Budd,Lana Wachowski,m
Michael Budd,Lilly Wachowski,m
Kelly Butler,Lana Wachowski,f
Kelly Butler,Lilly Wachowski,f
Zeke Castelli,Lana Wachowski,m
Zeke Castelli,Lilly Wachowski,m
Essie Davis,Lana Wachowski,f
