actor,director,gender
T.C. Matherne,Gina Prince-Bythewood,m
D.W. Moffett,Agnieszka Holland,m
D.W. Moffett,Donna Deitch,m
D.W. Moffett,Catherine Hardwick,m
Toney Chapman Steele,Agnieszka Holland,m
Toney Chapman Steele,Cheryl Dunye,m
Annie Parisse,Agnieszka Holland,f
Annie Parisse,Mary Harron,f
Tracie Thoms,Agnieszka Holland,f
Tracie Thoms,Ava DuVernay,f
Tracie Thoms,Allison Anders,f
Fernanda Andrade,Agnieszka Holland,f
Fernanda Andrade,Lisa Cholodenko,f
Jeannie Berlin,Agnieszka Holland,f
Jeannie Berlin,Elaine May,f
Norbert Leo Butz,Agnieszka Holland,m
Norbert Leo Butz,Kathryn Bigelow,m
Melissa George,Agnieszka Holland,f
Melissa George,Jennifer Kent,f
Melissa George,Lisa Cholodenko,f
Sol Miranda,Agnieszka Holland,f
Sol Miranda,Nicole Holofcener,f
Marcus Lyle Brown,Agnieszka Holland,m
Marcus Lyle Brown,Kasi Lemmons,m
Marcus Lyle Brown,Kimberly Peirce,m
Marcus Lyle Brown,Martha Coolidge,m
Devyn A. Tyler,Agnieszka Holland,f
Devyn A. Tyler,Gina Prince-Bythewood,f
Billy Slaughter,Agnieszka Holland,m
Billy Slaughter,Mary Harron,m
Bill Camp,Agnieszka Holland,m
Bill Camp,Karyn Kusama,m
Bill Camp,Kimberly Peirce,m
Bill Camp,Nicole Holofcener,m
Rachel Whitman Groves,Agnieszka Holland,f
Rachel Whitman Groves,Cheryl Dunye,f
François Cluzet,Agnieszka Holland,m
François Cluzet,Claire Denis,m
Jean-François Stévenin,Agnieszka Holland,m
Jean-François Stévenin,Chantal Akerman,m
Jean-François Stévenin,Catherine Breillat,m
Grégoire Colin,Agnieszka Holland,m
Grégoire Colin,Claire Denis,m
Grégoire Colin,Chantal Akerman,m
Grégoire Colin,Catherine Breillat,m
Mathias Jung,Agnieszka Holland,m
Mathias Jung,Gillian Armstrong,m
Miranda Otto,Agnieszka Holland,f
Miranda Otto,Amy Heckerling,f
Miranda Otto,Gillian Armstrong,f
William Fichtner,Agnieszka Holland,m
William Fichtner,Kathryn Bigelow,m
William Fichtner,Patty Jenkins,m
