actor,film,gender
Clayton Watson,The Matrix Revolutions,m
Clayton Watson,The Matrix Online,m
Hugo Weaving,The Matrix: Path of Neo,m
Hugo Weaving,Cloud Atlas,m
Hugo Weaving,Enter the Matrix,m
Hugo Weaving,The Matrix,m
Hugo Weaving,The Matrix Reloaded,m
Hugo Weaving,The Matrix Revolutions,m
Leigh Whannell,The Matrix: Path of Neo,m
Leigh Whannell,Enter the Matrix,m
Leigh Whannell,The Matrix Reloaded,m
Lambert Wilson,The Matrix: Path of Neo,m
Lambert Wilson,The Matrix 4,m
Lambert Wilson,Enter the Matrix,m
Lambert Wilson,The Matrix Reloaded,m
Lambert Wilson,The Matrix Revolutions,m
Lambert Wilson,The Matrix Online,m
Lambert Wilson,L'encyclopédie audio-visuelle,m
Rowan Witt,The Matrix: Path of Neo,m
Rowan Witt,The Matrix,m
Anthony Brandon Wong,The Matrix: Path of Neo,m
Anthony Brandon Wong,Enter the Matrix,m
Anthony Brandon Wong,The Matrix Reloaded,m
Anthony Brandon Wong,The Matrix Revolutions,m
Anthony Zerbe,The Matrix: Path of Neo,m
Anthony Zerbe,Enter the Matrix,m
Anthony Zerbe,The Matrix Reloaded,m
Anthony Zerbe,The Matrix Revolutions,m
Kimberly Brooks,The Matrix: Path of Neo,f
Kimberly Brooks,Huff,f
George Cheung,The Matrix: Path of Neo,m
George Cheung,Murder in the First (2014-2016),m
Robin Atkin Downes,The Matrix: Path of Neo,m
Robin Atkin Downes,Frozen II,m
Nika Futterman,The Matrix: Path of Neo,f
Nika Futterman,Enter the Matrix,f
Phil LaMarr,The Matrix: Path of Neo,m
Phil LaMarr,Frozen II,m
Mitch Lewis,The Matrix: Path of Neo,m
Mitch Lewis,River of Grass,m
Rick Pasqualone,The Matrix: Path of Neo,m
Rick Pasqualone,Moloney,m
Rick Pasqualone,The Dutch Master,m
Rick Pasqualone,Tales of Erotica,m
Christopher Corey Smith,The Matrix: Path of Neo,m
Christopher Corey Smith,Enter the Matrix,m
Fred Tatasciore,The Matrix: Path of Neo,m
Fred Tatasciore,Frozen II,m
Fred Tatasciore,Frozen,m
Michael E. Rodgers,The Matrix: Path of Neo,m
Michael E. Rodgers,Sugar Town,m
Chris Britton,The Matrix: Path of Neo,m
Chris Britton,Carrie,m
Lana Wachowski,The Matrix: Path of Neo,f
Lana Wachowski,Sense8: Creating the World,f
Lilly Wachowski,The Matrix: Path of Neo,f
Lilly Wachowski,Sense8: Creating the World,f
Tom Hanks,Cloud Atlas,m
Tom Hanks,A League of Their Own,m
Tom Hanks,Big,m
Tom Hanks,A Beautiful Day in the Neighborhood,m
Doona Bae,Cloud Atlas,f
Doona Bae,Jupiter Ascending,f
Doona Bae,Sense8 (2015-2018),f
Doona Bae,Sense8: Creating the World,f
Doona Bae,Sense8,f
James D'Arcy,Cloud Atlas,m
James D'Arcy,Jupiter Ascending,m
Hugh Grant,Cloud Atlas,m
Hugh Grant,The Undoing,m
Amanda Walker,Cloud Atlas,f
Amanda Walker,A League of Their Own,f
Alistair Petrie,Cloud Atlas,m
Alistair Petrie,Mrs Dalloway,m
Alistair Petrie,The Night Manager,m
Shaun Lawton,Cloud Atlas,m
Shaun Lawton,Æon Flux,m
Jonathan Groff,The Matrix 4,m
Jonathan Groff,Frozen Fever,m
Jonathan Groff,Frozen II,m
Jonathan Groff,Frozen,m
Jessica Henwick,The Matrix 4,f
Jessica Henwick,On the Rocks,f
Ellen Hollman,The Matrix 4,f
Ellen Hollman,Six (2017-2018),f
Brian J. Smith,The Matrix 4,m
Brian J. Smith,Sense8 (2015-2018),m
Brian J. Smith,Sense8: Creating the World,m
Brian J. Smith,Sense8,m
Max Riemelt,The Matrix 4,m
Max Riemelt,Sense8 (2015-2018),m
Max Riemelt,Sense8: Creating the World,m
Max Riemelt,Sense8,m
Eréndira Ibarra,The Matrix 4,f
Eréndira Ibarra,Sense8 (2015-2018),f
Eréndira Ibarra,Sense8: Creating the World,f
Eréndira Ibarra,Sense8,f
Toby Onwumere,The Matrix 4,m
Toby Onwumere,Sense8 (2015-2018),m
Toby Onwumere,Sense8,m
Toby Onwumere,Empire,m
Etienne Vick,The Matrix 4,f
Etienne Vick,The Diary of a Teenage Girl,f
Etienne Vick,Exposed,f
James D. Weston II,The Matrix 4,m
James D. Weston II,Exposed,m
Mel Powell,The Matrix 4,m
Mel Powell,The Diary of a Teenage Girl,m
Thomas Dalby,The Matrix 4,m
Thomas Dalby,Exposed,m
John Lobato,The Matrix 4,m
John Lobato,The Diary of a Teenage Girl,m
Christine Anu,Enter the Matrix,f
Christine Anu,The Matrix Reloaded,f
Francine Bell,Enter the Matrix,f
Francine Bell,The Matrix Revolutions,f
Michael Budd,Enter the Matrix,m
Michael Budd,The Matrix Reloaded,m
Kelly Butler,Enter the Matrix,f
Kelly Butler,The Matrix Reloaded,f
Zeke Castelli,Enter the Matrix,m
Zeke Castelli,The Matrix Revolutions,m
Essie Davis,Enter the Matrix,f
Essie Davis,The Matrix Reloaded,f
Essie Davis,The Matrix Revolutions,f
Essie Davis,Electric Dreams,f
Essie Davis,The Babadook,f
Daryl Heath,Enter the Matrix,m
Daryl Heath,The Matrix Reloaded,m
Malcolm Kennard,Enter the Matrix,m
Malcolm Kennard,The Matrix Reloaded,m
Christopher Kirby,Enter the Matrix,m
Christopher Kirby,The Matrix Reloaded,m
Christopher Kirby,The Matrix Revolutions,m
Peter Lamb,Enter the Matrix,m
Peter Lamb,The Matrix Reloaded,m
Peter Lamb,The Matrix Revolutions,m
Tony Lynch,Enter the Matrix,m
Tony Lynch,The Matrix Reloaded,m
Robert Mammone,Enter the Matrix,m
Robert Mammone,The Matrix Reloaded,m
Robert Mammone,The Matrix Revolutions,m
Joe Manning,Enter the Matrix,m
Joe Manning,The Matrix Revolutions,m
Scott McLean,Enter the Matrix,m
Scott McLean,The Matrix Reloaded,m
Steve Morris,Enter the Matrix,m
Steve Morris,The Matrix Reloaded,m
Rene Naufahu,Enter the Matrix,m
Rene Naufahu,The Matrix Reloaded,m
Rene Naufahu,The Matrix Revolutions,m
Socratis Otto,Enter the Matrix,m
Socratis Otto,The Matrix Reloaded,m
Kittrick Redmond,Enter the Matrix,m
Kittrick Redmond,The Matrix Revolutions,m
Rupert Reid,Enter the Matrix,m
Rupert Reid,The Matrix Reloaded,m
Rupert Reid,The Matrix Revolutions,m
David Roberts,Enter the Matrix,m
David Roberts,The Matrix Reloaded,m
David Roberts,The Matrix Revolutions,m
Shane C. Rodrigo,Enter the Matrix,m
Shane C. Rodrigo,The Matrix Reloaded,m
Bruce Spence,Enter the Matrix,m
Bruce Spence,The Matrix Revolutions,m
Frankie Stevens,Enter the Matrix,m
Frankie Stevens,The Matrix Reloaded,m
John Walton,Enter the Matrix,m
John Walton,The Matrix Reloaded,m
Cornel West,Enter the Matrix,m
Cornel West,The Matrix Reloaded,m
Cornel West,The Matrix Revolutions,m
David Bowe,Enter the Matrix,m
David Bowe,CBS Summer Playhouse,m
David Bowe,L.A. Doctors,m
Karen Huie,Enter the Matrix,f
Karen Huie,Kidding,f
Jim Lau,Enter the Matrix,m
Jim Lau,Everybody Hates Chris,m
Scott MacDonald,Enter the Matrix,m
Scott MacDonald,United States of Tara (2010-2011),m
Melinda McGraw,Enter the Matrix,f
Melinda McGraw,Proof,f
Darrel Heath,Enter the Matrix,m
Darrel Heath,Senseless,m
Kevin Michael Richardson,Enter the Matrix,m
Kevin Michael Richardson,Bound,m
Kevin Michael Richardson,The Matrix Revolutions,m
Sean Bean,Jupiter Ascending,m
Sean Bean,North Country,m
Tuppence Middleton,Jupiter Ascending,f
Tuppence Middleton,Sense8 (2015-2018),f
Tuppence Middleton,Sense8: Creating the World,f
Tuppence Middleton,Sense8,f
Tuppence Middleton,Electric Dreams,f
Gugu Mbatha-Raw,Jupiter Ascending,f
Gugu Mbatha-Raw,A Wrinkle in Time,f
Gugu Mbatha-Raw,August 28th,f
Gugu Mbatha-Raw,Beyond the Lights,f
Sean Baker,Jupiter Ascending,m
Sean Baker,Selma,m
Sarah Crowden,Jupiter Ascending,f
Sarah Crowden,Orlando,f
Sharon Coleman,Jupiter Ascending,f
Sharon Coleman,Betrayal,f
Eric Ian,Jupiter Ascending,m
Eric Ian,The Beguiled,m
Jennifer Tilly,Bound,f
Jennifer Tilly,An American Girl: Chrissa Stands Strong,f
Margaret Smith,Bound,f
Margaret Smith,Five,f
Peter Spellos,Bound,m
Peter Spellos,A Child Lost Forever: The Jerry Sherwood Story,m
Jamie Clayton,Sense8 (2015-2018),f
Jamie Clayton,Sense8: Creating the World,f
Jamie Clayton,Sense8,f
Jamie Clayton,Hung,f
Tina Desai,Sense8 (2015-2018),f
Tina Desai,Sense8: Creating the World,f
Tina Desai,Sense8,f
Miguel Ángel Silvestre,Sense8 (2015-2018),m
Miguel Ángel Silvestre,Sense8: Creating the World,m
Miguel Ángel Silvestre,Sense8,m
Alfonso Herrera,Sense8 (2015-2018),m
Alfonso Herrera,Sense8: Creating the World,m
Alfonso Herrera,Sense8,m
Terrence Mann,Sense8 (2015-2018),m
Terrence Mann,Sense8: Creating the World,m
Terrence Mann,Sense8,m
Terrence Mann,Time After Time,m
Purab Kohli,Sense8 (2015-2018),m
Purab Kohli,Sense8: Creating the World,m
Purab Kohli,Sense8,m
Max Mauff,Sense8 (2015-2018),m
Max Mauff,Sense8,m
Paul Ogola,Sense8 (2015-2018),m
Paul Ogola,Sense8,m
Chichi Seii,Sense8 (2015-2018),f
Chichi Seii,Sense8,f
Michael X. Sommers,Sense8 (2015-2018),m
Michael X. Sommers,Sense8,m
Aml Ameen,Sense8 (2015-2018),m
Aml Ameen,Sense8: Creating the World,m
Aml Ameen,Sense8,m
Aml Ameen,For Justice,m
Aml Ameen,Beyond the Lights,m
Anupam Kher,Sense8 (2015-2018),m
Anupam Kher,Sense8,m
Anupam Kher,Bend It Like Beckham,m
Anupam Kher,Bride & Prejudice,m
Ness Bautista,Sense8 (2015-2018),m
Ness Bautista,Sense8,m
Peter King Nzioki,Sense8 (2015-2018),m
Peter King Nzioki,Sense8,m
Huzane Mewawala,Sense8 (2015-2018),f
Huzane Mewawala,Sense8,f
Ki-Chan Lee,Sense8 (2015-2018),m
Ki-Chan Lee,Sense8,m
Kristján Kristjánsson,Sense8 (2015-2018),m
Kristján Kristjánsson,Sense8,m
Darshan Jariwala,Sense8 (2015-2018),m
Darshan Jariwala,Sense8,m
Darshan Jariwala,Viceroy's House,m
Maximilienne Ewalt,Sense8 (2015-2018),f
Maximilienne Ewalt,Sense8,f
Valeria Bilello,Sense8 (2015-2018),f
Valeria Bilello,Sense8,f
Mumbi Maina,Sense8 (2015-2018),f
Mumbi Maina,Sense8,f
Maxwell Jenkins,Sense8 (2015-2018),m
Maxwell Jenkins,Sense8,m
Maxwell Jenkins,Betrayal,m
Mita Vasisht,Sense8 (2015-2018),f
Mita Vasisht,Sense8,f
Raúl Méndez,Sense8 (2015-2018),m
Raúl Méndez,Sense8,m
Erik Hayser,Sense8 (2015-2018),m
Erik Hayser,Sense8,m
Rosa Katanu,Sense8 (2015-2018),f
Rosa Katanu,Sense8,f
Hye-hwa Kim,Sense8 (2015-2018),f
Hye-hwa Kim,Sense8,f
Yuh-Jung Youn,Sense8 (2015-2018),f
Yuh-Jung Youn,Sense8,f
Sara Sohn,Sense8 (2015-2018),f
Sara Sohn,Sense8,f
Avantika Akerkar,Sense8 (2015-2018),f
Avantika Akerkar,Sense8,f
Abel Amunga,Sense8 (2015-2018),m
Abel Amunga,Sense8,m
Shruti Bapna,Sense8 (2015-2018),f
Shruti Bapna,Sense8,f
Sandra Fish,Sense8 (2015-2018),f
Sandra Fish,Sense8,f
Sukku Son,Sense8 (2015-2018),m
Sukku Son,Sense8,m
Lwanda Jawar,Sense8 (2015-2018),m
Lwanda Jawar,Sense8: Creating the World,m
Lwanda Jawar,Sense8,m
Kyeong-yeong Lee,Sense8 (2015-2018),m
Kyeong-yeong Lee,Sense8,m
Ari Brickman,Sense8 (2015-2018),m
Ari Brickman,Sense8,m
Lilja Þórisdóttir,Sense8 (2015-2018),f
Lilja Þórisdóttir,Sense8,f
David Franklin,The Matrix Reloaded,m
David Franklin,My Brilliant Career,m
Nathaniel Lees,The Matrix Reloaded,m
Nathaniel Lees,The Matrix Revolutions,m
Genevieve O'Reilly,The Matrix Reloaded,f
Genevieve O'Reilly,The Matrix Revolutions,f
Gina Torres,The Matrix Reloaded,f
Gina Torres,The Matrix Revolutions,f
Gina Torres,The Matrix Online,f
Crispin Buxton,Sense8: Creating the World,m
Crispin Buxton,The Souvenir,m
Tanveer K. Atwal,The Matrix Revolutions,f
Tanveer K. Atwal,The Matrix Online,f
Piera Degli Esposti,The Blue Collar Worker and the Hairdresser in a Whirl of Sex and Politics,f
Piera Degli Esposti,Mannaggia alla miseria!,f
Piera Degli Esposti,Il decimo clandestino,f
Piera Degli Esposti,"A Joke of Destiny, Lying in Wait Around the Corner Like a Bandit",f
Maria Zulima Job,The Blue Collar Worker and the Hairdresser in a Whirl of Sex and Politics,f
Maria Zulima Job,Too Much Romance... It's Time for Stuffed Peppers,f
Maria Zulima Job,Mannaggia alla miseria!,f
Maria Zulima Job,Francesca and Nunziata,f
Maria Zulima Job,Ferdinando e Carolina,f
Luciana Paluzzi,Let's Talk About Men,f
Luciana Paluzzi,Hong Kong,f
Milena Vukotic,Let's Talk About Men,f
Milena Vukotic,Il giornalino di Gian Burrasca (1964-1965),f
Milena Vukotic,Rita the Mosquito,f
Alfredo Bianchini,Let's Talk About Men,m
Alfredo Bianchini,Il giornalino di Gian Burrasca (1964-1965),m
Alfredo Bianchini,Sotto... sotto,m
Sergio Ferranino,Let's Talk About Men,m
Sergio Ferranino,Il giornalino di Gian Burrasca (1964-1965),m
Sergio Ferranino,The Basilisks,m
Sergio Ferranino,Rita the Mosquito,m
Stefano Satta Flores,Let's Talk About Men,m
Stefano Satta Flores,The Basilisks,m
Sophia Loren,Blood Feud,f
Sophia Loren,Too Much Romance... It's Time for Stuffed Peppers,f
Sophia Loren,"Saturday, Sunday and Monday",f
Sophia Loren,Francesca and Nunziata,f
Giancarlo Giannini,Blood Feud,m
Giancarlo Giannini,Seven Beauties,m
Giancarlo Giannini,Don't Sting the Mosquito,m
Giancarlo Giannini,The Seduction of Mimi,m
Giancarlo Giannini,A Night Full of Rain,m
Giancarlo Giannini,Love & Anarchy,m
Giancarlo Giannini,Francesca and Nunziata,m
Giancarlo Giannini,Swept Away,m
Giancarlo Giannini,Rita the Mosquito,m
Turi Ferro,Blood Feud,m
Turi Ferro,Don't Sting the Mosquito,m
Turi Ferro,The Seduction of Mimi,m
Turi Ferro,Rita the Mosquito,m
Mario Scarpetta,Blood Feud,m
Mario Scarpetta,Camorra,m
Mario Scarpetta,A Night Full of Rain,m
Mario Scarpetta,"Saturday, Sunday and Monday",m
Mario Scarpetta,Sotto... sotto,m
Lucio Amelio,Blood Feud,m
Lucio Amelio,Seven Beauties,m
Lucio Amelio,A Night Full of Rain,m
Lucio Amelio,"Saturday, Sunday and Monday",m
Isa Danieli,Blood Feud,f
Isa Danieli,Camorra,f
Isa Danieli,All Screwed Up,f
Isa Danieli,Love & Anarchy,f
Isa Danieli,"Saturday, Sunday and Monday",f
Isa Danieli,"Ciao, Professore!",f
Isa Danieli,Swept Away,f
Isa Danieli,Ferdinando e Carolina,f
Isa Danieli,The Nymph,f
Isa Danieli,Sotto... sotto,f
Paolo Bonacelli,Camorra,m
Paolo Bonacelli,"Ciao, Professore!",m
Anny Papa,Camorra,f
Anny Papa,A Night Full of Rain,f
Lorraine Bracco,Camorra,f
Lorraine Bracco,Up to Date,f
Lorraine Bracco,Riding in Cars with Boys,f
Lorraine Bracco,Women Without Men,f
Shirley Stoler,Seven Beauties,f
Shirley Stoler,A Real Young Girl,f
Shirley Stoler,Desperately Seeking Susan,f
Elena Fiore,Seven Beauties,f
Elena Fiore,The Seduction of Mimi,f
Elena Fiore,Love & Anarchy,f
Enzo Vitale,Seven Beauties,m
Enzo Vitale,A Night Full of Rain,m
Roberto Herlitzka,Seven Beauties,m
Roberto Herlitzka,"Summer Night with Greek Profile, Almond Eyes and Scent of Basil",m
Roberto Herlitzka,Mannaggia alla miseria!,m
Roberto Herlitzka,Love & Anarchy,m
Roberto Herlitzka,"A Joke of Destiny, Lying in Wait Around the Corner Like a Bandit",m
Carla Mancini,Seven Beauties,f
Carla Mancini,All Screwed Up,f
F. Murray Abraham,Too Much Romance... It's Time for Stuffed Peppers,m
F. Murray Abraham,Bored to Death,m
Angela Pagano,Too Much Romance... It's Time for Stuffed Peppers,f
Angela Pagano,Mannaggia alla miseria!,f
Armando Pugliese,Too Much Romance... It's Time for Stuffed Peppers,m
Armando Pugliese,Francesca and Nunziata,m
Armando Pugliese,Ferdinando e Carolina,m
Elio Pandolfi,Too Much Romance... It's Time for Stuffed Peppers,m
Elio Pandolfi,Ferdinando e Carolina,m
Moira Grassi,Too Much Romance... It's Time for Stuffed Peppers,f
Moira Grassi,Francesca and Nunziata,f
Moira Grassi,Ferdinando e Carolina,f
Rita Pavone,Il giornalino di Gian Burrasca (1964-1965),f
Rita Pavone,Don't Sting the Mosquito,f
Rita Pavone,Rita the Mosquito,f
Marisa Omodei,Il giornalino di Gian Burrasca (1964-1965),f
Marisa Omodei,The Basilisks,f
Bice Valori,Il giornalino di Gian Burrasca (1964-1965),f
Bice Valori,Rita the Mosquito,f
Alfredo Censi,Il giornalino di Gian Burrasca (1964-1965),m
Alfredo Censi,Don't Sting the Mosquito,m
Luigi Diberti,All Screwed Up,m
Luigi Diberti,The Seduction of Mimi,m
Lina Polito,All Screwed Up,f
Lina Polito,Mannaggia alla miseria!,f
Lina Polito,Love & Anarchy,f
Giuliana Calandra,All Screwed Up,f
Giuliana Calandra,Love & Anarchy,f
Loredana Martinez,All Screwed Up,f
Loredana Martinez,Mannaggia alla miseria!,f
Salvatore Emilio,All Screwed Up,m
Salvatore Emilio,"Saturday, Sunday and Monday",m
Maria Sciacca,All Screwed Up,f
Maria Sciacca,Love & Anarchy,f
Aldo Puglisi,All Screwed Up,m
Aldo Puglisi,Swept Away,m
Anna Melita,All Screwed Up,f
Anna Melita,Swept Away,f
Maria Capparelli,All Screwed Up,f
Maria Capparelli,Love & Anarchy,f
Lorenzo Piani,All Screwed Up,m
Lorenzo Piani,Love & Anarchy,m
Lorenzo Piani,Swept Away,m
Eros Pagni,All Screwed Up,m
Eros Pagni,Love & Anarchy,m
Eros Pagni,Swept Away,m
Peppino De Filippo,Don't Sting the Mosquito,m
Peppino De Filippo,Rita the Mosquito,m
Ugo Fangareggi,Don't Sting the Mosquito,m
Ugo Fangareggi,Rita the Mosquito,m
Mirella Pamphili,Don't Sting the Mosquito,f
Mirella Pamphili,Rita the Mosquito,f
Giusi Raspani Dandolo,Don't Sting the Mosquito,f
Giusi Raspani Dandolo,Rita the Mosquito,f
Teddy Reno,Don't Sting the Mosquito,m
Teddy Reno,Rita the Mosquito,m
Mariangela Melato,"Summer Night with Greek Profile, Almond Eyes and Scent of Basil",f
Mariangela Melato,The Seduction of Mimi,f
Mariangela Melato,Love & Anarchy,f
Mariangela Melato,Swept Away,f
Michele Placido,"Summer Night with Greek Profile, Almond Eyes and Scent of Basil",m
Michele Placido,Venice 70: Future Reloaded,m
Massimo Wertmüller,"Summer Night with Greek Profile, Almond Eyes and Scent of Basil",m
Massimo Wertmüller,A Night Full of Rain,m
Massimo Wertmüller,Francesca and Nunziata,m
Massimo Wertmüller,"A Joke of Destiny, Lying in Wait Around the Corner Like a Bandit",m
Massimo Wertmüller,Up to Date,m
Massimo Wertmüller,Sotto... sotto,m
Gianfranco Barra,The Seduction of Mimi,m
Gianfranco Barra,Love & Anarchy,m
Franco Moscon,The Seduction of Mimi,m
Franco Moscon,The Zookeeper's Wife,m
Flora Carabella,A Night Full of Rain,f
Flora Carabella,The Basilisks,f
Jill Eikenberry,A Night Full of Rain,f
Jill Eikenberry,Between the Lines,f
George Eastman,The Belle Star Story,m
George Eastman,Up to Date,m
Gabriella Pession,Mannaggia alla miseria!,f
Gabriella Pession,Ferdinando e Carolina,f
Sergio Assisi,Mannaggia alla miseria!,m
Sergio Assisi,Ferdinando e Carolina,m
Ennio Coltorti,Mannaggia alla miseria!,m
Ennio Coltorti,The Nymph,m
Susanna Marcomeni,Mannaggia alla miseria!,f
Susanna Marcomeni,Il decimo clandestino,f
Ciro Esposito,Mannaggia alla miseria!,m
Ciro Esposito,"Ciao, Professore!",m
Luca De Filippo,Mannaggia alla miseria!,m
Luca De Filippo,"Saturday, Sunday and Monday",m
Pina Cei,Love & Anarchy,f
Pina Cei,"A Joke of Destiny, Lying in Wait Around the Corner Like a Bandit",f
Luciano De Crescenzo,"Saturday, Sunday and Monday",m
Luciano De Crescenzo,Francesca and Nunziata,m
Ester Carloni,"Saturday, Sunday and Monday",f
Ester Carloni,"Ciao, Professore!",f
Pelos La Capria,"Saturday, Sunday and Monday",m
Pelos La Capria,Ferdinando e Carolina,m
Enzo Cannavale,"Saturday, Sunday and Monday",m
Enzo Cannavale,Francesca and Nunziata,m
Sergio Solli,"Ciao, Professore!",m
Sergio Solli,"A Joke of Destiny, Lying in Wait Around the Corner Like a Bandit",m
Sergio Solli,Sotto... sotto,m
Adriano Pantaleo,"Ciao, Professore!",m
Adriano Pantaleo,Ferdinando e Carolina,m
Raoul Bova,Francesca and Nunziata,m
Raoul Bova,The Nymph,m
Raoul Bova,What About Brian,m
Domenico Orsini,Francesca and Nunziata,m
Domenico Orsini,The Nymph,m
Vanessa Sabet,Francesca and Nunziata,f
Vanessa Sabet,Ferdinando e Carolina,f
Paolo De Giorgio,Francesca and Nunziata,m
Paolo De Giorgio,Ferdinando e Carolina,m
Paolo De Giorgio,The Nymph,m
Lola Pagnani,Francesca and Nunziata,f
Lola Pagnani,Ferdinando e Carolina,f
Lola Pagnani,The Nymph,f
Peter Lucas,L'encyclopédie audio-visuelle,m
Peter Lucas,The Unknown,m
Richard Price,L'encyclopédie audio-visuelle,m
Richard Price,Wonder Woman 1984,m
Richard Price,Wonder Woman,m
Matt Patresi,Ferdinando e Carolina,m
Matt Patresi,The Nativity Story,m
Valeria Golino,"A Joke of Destiny, Lying in Wait Around the Corner Like a Bandit",f
Valeria Golino,Portrait of a Lady on Fire,f
Valeria Golino,Four Rooms,f
Lydia Lundry,Up to Date,f
Lydia Lundry,Sotto... sotto,f
Phillips Smalley,A Heroine of '76,m
Phillips Smalley,An Old Locket,m
Phillips Smalley,A Fool and His Money,m
Phillips Smalley,Leaves in the Storm,m
Phillips Smalley,The Spider and Her Web,m
Phillips Smalley,Plain Mary,m
Phillips Smalley,The Martyr,m
Phillips Smalley,Sensation Seekers,m
Phillips Smalley,Faraway Fields,m
Phillips Smalley,A Modern Fairy Tale,m
Phillips Smalley,The Rock of Riches,m
Phillips Smalley,The Greater Love,m
Phillips Smalley,The Wife's Deceit,m
Phillips Smalley,Until Death,m
Phillips Smalley,His Brand,m
Phillips Smalley,Under the Spell,m
Phillips Smalley,The Dragon's Breath,m
Phillips Smalley,The Pursuit of Hate,m
Phillips Smalley,The Cap of Destiny,m
Phillips Smalley,The Fallen Angel,m
Phillips Smalley,The Merchant of Venice,m
Phillips Smalley,His Sister,m
Phillips Smalley,Sunshine Molly,m
Phillips Smalley,In the Blood,m
Phillips Smalley,A Cigarette - That's All,m
Phillips Smalley,Memories,m
Phillips Smalley,An Episode,m
Phillips Smalley,The Haunted Bride,m
Phillips Smalley,Two Thieves,m
Phillips Smalley,The Pretender,m
Phillips Smalley,On the Brink,m
Phillips Smalley,Too Wise Wives,m
Phillips Smalley,The Coward Hater,m
Phillips Smalley,The Female of the Species,m
Phillips Smalley,How Men Propose,m
Phillips Smalley,Shadows of Life,m
Phillips Smalley,Fine Feathers,m
Phillips Smalley,The Clue,m
Phillips Smalley,The Rosary,m
Phillips Smalley,Through Strife,m
Phillips Smalley,Scandal,m
Phillips Smalley,Angels Unaware,m
Phillips Smalley,The Peacemaker,m
Phillips Smalley,The Triumph of Mind,m
Phillips Smalley,The Price of Peace,m
Phillips Smalley,The Baby's Doll,m
Phillips Smalley,The Power of Thought,m
Phillips Smalley,The Gilded Life,m
Phillips Smalley,The Mask,m
Phillips Smalley,The Bargain,m
Phillips Smalley,Closed Gates,m
Phillips Smalley,An Old Fashioned Girl,m
Phillips Smalley,The Hand That Rocks the Cradle,m
Phillips Smalley,The Leper's Coat,m
Phillips Smalley,The Stone in the Road,m
Phillips Smalley,The Realization,m
Phillips Smalley,The Boyhood He Forgot,m
Phillips Smalley,The Trifler,m
Phillips Smalley,The Troubadour's Triumph,m
Phillips Smalley,A Book of Verses,m
Phillips Smalley,The King Can Do No Wrong,m
Phillips Smalley,A Breach of Faith,m
Phillips Smalley,Saving the Family Name,m
Phillips Smalley,The Blood Brotherhood,m
Phillips Smalley,Civilized and Savage,m
Phillips Smalley,An Empty Box,m
Phillips Smalley,The Jew's Christmas,m
Phillips Smalley,The Heiress,m
Phillips Smalley,Lost by a Hair,m
Phillips Smalley,The Greater Christian,m
Phillips Smalley,Avenged,m
Phillips Smalley,Behind the Veil,m
Phillips Smalley,On Suspicion,m
Phillips Smalley,Eyes That See Not,m
Phillips Smalley,Two Thieves and a Cross,m
Phillips Smalley,From Death to Life,m
Phillips Smalley,The Price,m
Phillips Smalley,The Twins,m
Phillips Smalley,Never Again,m
Phillips Smalley,The Poverty of Riches,m
Phillips Smalley,Helping Mother,m
Phillips Smalley,Troubled Waters,m
Phillips Smalley,James Lee's Wife,m
Phillips Smalley,Hop - The Devil's Brew,m
Phillips Smalley,The Light Woman,m
Phillips Smalley,Fate,m
Phillips Smalley,Bobby's Baby,m
Phillips Smalley,Just in Time,m
Phillips Smalley,Idle Wives,m
Phillips Smalley,The Final Pardon,m
Rupert Julian,An Old Locket,m
Rupert Julian,A Fool and His Money,m
Rupert Julian,The Spider and Her Web,m
Rupert Julian,A Modern Fairy Tale,m
Rupert Julian,The Wife's Deceit,m
Rupert Julian,His Brand,m
Rupert Julian,The Pursuit of Hate,m
Rupert Julian,The Merchant of Venice,m
Rupert Julian,His Sister,m
Rupert Julian,Woman's Burden,m
Rupert Julian,A Cigarette - That's All,m
Rupert Julian,Memories,m
Rupert Julian,Daisies,m
Rupert Julian,An Episode,m
Rupert Julian,The Haunted Bride,m
Rupert Julian,The Dumb Girl of Portici,m
Rupert Julian,The Coward Hater,m
Rupert Julian,The Female of the Species,m
Rupert Julian,Shadows of Life,m
Rupert Julian,The Clue,m
Rupert Julian,Through Strife,m
Rupert Julian,Scandal,m
Rupert Julian,The Peacemaker,m
Rupert Julian,The Triumph of Mind,m
Rupert Julian,The Gilded Life,m
Rupert Julian,The Mask,m
Rupert Julian,Closed Gates,m
Rupert Julian,The Leper's Coat,m
Rupert Julian,The Boyhood He Forgot,m
Rupert Julian,The Blood Brotherhood,m
Rupert Julian,Avenged,m
Rupert Julian,Behind the Veil,m
Rupert Julian,Two Thieves and a Cross,m
Rupert Julian,Troubled Waters,m
Rupert Julian,Jewel,m
Rupert Julian,The Career of Waterloo Peterson,m
Anita Stewart,A Midnight Romance,f
Anita Stewart,Mary Regan,f
Jack Holt,A Midnight Romance,m
Jack Holt,A Cigarette - That's All,m
Jack Holt,The Dumb Girl of Portici,m
Jack Holt,Saving the Family Name,m
Jack Holt,Jewel,m
Helen Yoder,A Midnight Romance,f
Helen Yoder,Home,f
Juanita Hansen,A Midnight Romance,f
Juanita Hansen,Betty in Search of a Thrill,f
Ella Hall,A Fool and His Money,f
Ella Hall,A Modern Fairy Tale,f
Ella Hall,The Pursuit of Hate,f
Ella Hall,Woman's Burden,f
Ella Hall,Memories,f
Ella Hall,An Episode,f
