actor,film,gender
Édith Le Merdy,Rosemary's Baby,f
Édith Le Merdy,To Each His Own Cinema,f
Jerzy Trela,Television Theater,m
Jerzy Trela,Kobieta samotna,m
Krzysztof Globisz,Television Theater,m
Krzysztof Globisz,Within the Whirlwind,m
Krystyna Janda,Television Theater,f
Krystyna Janda,Without Secrets,f
Zbigniew Zapasiewicz,Television Theater,m
Zbigniew Zapasiewicz,Fever,m
Zbigniew Zapasiewicz,Obrazki z zycia,m
Adam Ferency,Television Theater,m
Adam Ferency,Fever,m
Adam Ferency,Screen Tests,m
Adam Ferency,Sunday Children,m
Adam Ferency,Provincial Actors,m
Andrzej Mastalerz,Television Theater,m
Andrzej Mastalerz,In Darkness,m
Andrzej Mastalerz,Europa Europa,m
Jaroslaw Gajewski,Television Theater,m
Jaroslaw Gajewski,Europa Europa,m
Jaroslaw Gajewski,Ekipa,m
Magdalena Cielecka,Television Theater,f
Magdalena Cielecka,Without Secrets,f
Krzysztof Stroinski,Television Theater,m
Krzysztof Stroinski,Ekipa,m
Kinga Preis,Television Theater,f
Kinga Preis,In Darkness,f
Kinga Preis,Without Secrets,f
Leon Charewicz,Television Theater,m
Leon Charewicz,Ekipa,m
Grzegorz Malecki,Television Theater,m
Grzegorz Malecki,Without Secrets,m
Janusz Gajos,Television Theater,m
Janusz Gajos,Without Secrets,m
Janusz Gajos,Ekipa,m
Krzysztof Dracz,Television Theater,m
Krzysztof Dracz,1983,m
Zbigniew Zamachowski,Television Theater,m
Zbigniew Zamachowski,Within the Whirlwind,m
Danuta Stenka,Television Theater,f
Danuta Stenka,Without Secrets,f
Anna Seniuk,Television Theater,f
Anna Seniuk,Europa Europa,f
Jerzy Lapinski,Television Theater,m
Jerzy Lapinski,Provincial Actors,m
Stanislawa Celinska,Television Theater,f
Stanislawa Celinska,Without Secrets,f
Marek Kalita,Television Theater,m
Marek Kalita,Ekipa,m
Agnieszka Mandat,Spoor,f
Agnieszka Mandat,Ekipa,f
Agnieszka Mandat,Within the Whirlwind,f
Patricia Volny,Spoor,f
Patricia Volny,1983,f
Patricia Volny,Mr. Jones,f
Miroslav Krobot,Spoor,m
Miroslav Krobot,Burning Bush,m
Katarzyna Herman,Spoor,f
Katarzyna Herman,Ekipa,f
Marcin Bosak,Spoor,m
Marcin Bosak,In Darkness,m
Marcin Bosak,1983,m
Marcin Bosak,Ekipa,m
Sebastian Pawlak,Spoor,m
Sebastian Pawlak,1983,m
Juliusz Krzysztof Warunek,Spoor,m
Juliusz Krzysztof Warunek,1983,m
Zofia Wichlacz,Spoor,f
Zofia Wichlacz,1983,f
Boguslaw Linda,Fever,m
Boguslaw Linda,Kobieta samotna,m
Aleksy Awdiejew,Fever,m
Aleksy Awdiejew,Europa Europa,m
Tadeusz Huk,Fever,m
Tadeusz Huk,Provincial Actors,m
Michal Tarkowski,Fever,m
Michal Tarkowski,Obrazki z zycia,m
Krzysztof Zaleski,Fever,m
Krzysztof Zaleski,Sunday Children,m
Krzysztof Zaleski,Kobieta samotna,m
Zbigniew Bielski,Fever,m
Zbigniew Bielski,Screen Tests,m
Zbigniew Bielski,Europa Europa,m
Zbigniew Bielski,Provincial Actors,m
Zbigniew Bielski,Evening at Abdon's,m
Zbigniew Nawrocki,Fever,m
Zbigniew Nawrocki,Evening at Abdon's,m
Grzegorz Wons,Fever,m
Grzegorz Wons,1983,m
Grzegorz Wons,Europa Europa,m
Grzegorz Wons,Something for Something,m
Stanislaw Jaroszynski,Fever,m
